,Job Function,Industry,Seniority,Job Description
30,Purchasing,Retail,Entry level,"Essential Job Functions




Provide efficient and courteous service to customers at all times including asking customers to the check-out. NEVER sign off the register with a customer waiting. Always wait until someone comes to relieve you.
Scan and ring customer orders according to company policy, including store productivity standards. Make sure items are credited to the correct department and all items are removed from the cart.
Receive and be accountable for all funds taken for each transaction.
Assist the courtesy clerk in bagging groceries.
Keep work station and area around work station neat and clean.
Know and follow all state and local laws regarding beer and/or wine sales.
Know and follow all federal laws regarding WIC handling.
Know and follow all coupon handling procedures.
Follow company check cashing and tendering procedures.
Know and follow policies and procedures for Debit Card/Credit Card/ Gift Card/EBT Cash/EBT Food Stamp transactions.
Follow company policy for proper use of assigned tills.
Take weekly produce tests.
Responsible to see that all not-on-file items have been recorded and turned in on a daily basis.
Follow proper procedures for obtaining change.
Proper usage of intercom.
NEVER carry on a conversation with another associate while checking out an order.
Know and understand the ValuCard program and be able to explain the program.
Assist with light stocking duties (candy, cigarettes)
Sweep front end.
Replace misplaced items to the proper location.
Keep bathrooms neat and clean.
Other duties may be assigned as needed. ?Benefits of working for Food City: 401(k) with company match, Employee Stock Ownership Plan, Weekly Pay Checks with Direct Deposit, Company paid Life and Disability Insurance, Medical Plan with wellness benefits, Dental Plan, Paid Holidays, Paid Vacations, Associate Offers, and so much more! About Food City: Food City is a privately held, family-owned company with a driving mission to ""run the best store in town."" Dedicated to giving back to the communities we serve, we encourage our associates to get involved with their local civic organizations. We consider our associates to be our greatest asset. Over 13% of the company is currently owned by our associates through our employee stock ownership plan, promoting tremendous pride in the services and products we provide. Whether your passion is baking, accounting, or trucking, Food City has a promising career opportunity for you. We offer flexible schedules to ensure our associates have ample time to spend with family and friends. If you're looking for a great career or the opportunity to try something different, consider becoming part of the Food City family.
Show less "
31,Health Care Provider,Retail,Mid-Senior level,"Bachelor's degree (BS/BA) in Pharmacy or Doctoral degree (PHARM.D.).
Immunization Certification through an accredited organization (i.e. APhA).
Active Pharmacist license in good standing in the state for which you are applying.
The above information represents a summary of the functions and requirements of this position. Additional details are available on the full job description.
Ability to work a flexible schedule to meet the needs of the business.




Summary




The primary purpose of this position is to assist customers with their health care needs by filling prescriptions, providing clinical services and excellent customer service while supervising Pharmacy associates. Frequent independent judgments are essential. All duties described in this document are to be performed in keeping with the core values and service attributes consistent with the Rite Aid brand and strategy.




The associate is responsible for the functions below, in addition to other duties as assigned




Ensure the accuracy and appropriateness of all prescriptions filled by completing Drug Utilization Review and Final Quality Assurance, applicable to state and federal Board of Pharmacy regulations.
Build profitable business and script growth through recommended clinical programs including appropriate immunization and when available MTM (Medication Therapy Management), DCS (Diabetes Care Specialist), and all ongoing other programs as identified.
Provide excellent customer service by assisting customers with medical-related issues and providing healthcare counseling.
Supervise the work completed by support staff while on duty.
Assist with training, coaching and managing the pharmacy associates and assume management responsibility over the entire pharmacy as needed.
Maintain appropriate security of the Pharmacy department.
Comply with HIPAA and all other applicable federal and state laws and regulations.
Handle and resolve customer issues, complaints and questions to build customer trust and loyalty.
Interact with physicians and utilize reference material to gain information on customers and prescriptions and to resolve any issues that arise.
Assist with maintaining the Pharmacy department by keeping it clean and in order.
Prioritize Pharmacy Department tasks and follow through to ensure all tasks are completed in a timely manner. Including, but not limited to, cycle counts, inventory management and will-calls to customers.




Employment Benefits Provided




Full medical, prescription, vision, and dental benefits
401k with matching
PTO (3 weeks starting, 5 weeks max)
Employee assistance programs
Access to a variety of free resources, programs, perks, and discounts designed to help you manage your work/life needs and improve your overall wellness or wellbeing (emotional, physical, social, and more)
Show less "
32,Purchasing,Retail,Entry level,"Essential Job Functions




Ensure efficient and courteous customer service at all times in support of the company mission to ""Run the Best Store in Town!""
Maintain a positive attitude; create an atmosphere of friendliness and fun through flexibility and teamwork.
Generate a positive, friendly, and fun working environment with a customer first initiative by greeting and speaking to customers, provide prompt, courteous, and efficient customer service.
Prepare and produce ""Quality"" food & products to meet or exceed our customer & company expectations
Decorate specialty cakes, including use of photo cake computer
Decorate cupcakes and cookies
Maintain cookie and cake cases
Take telephone order for food and specialty cakes
Maintain table cakes
Assist in proper rotation and dating of Food Service products
Responsible for maintaining product inventory and ordering
Keep display case, workstation, and area around workstation neat and clean
Make sure that all special cake orders are ready for delivery to customer at or before time
Food Service Associates should expect to be cross trained in multiple areas with varying responsibilities. Qualifications:
Must be 18 years of age or older
Food Service experience a plus, but not required
Ability to meet standard Physical, Mental, and Visual demands
Ability to understand and follow verbal and/or written instructions, perform routine and repetitive tasks and have constant contact/interaction with various levels of individuals on a daily basis
Ability to attend on-site work during scheduled shifts to adhere to company time and attendance policies Benefits of working for Food City: 401(k) with company match, Employee Stock Ownership Plan, Weekly Pay Checks with Direct Deposit, Company paid Life and Disability Insurance, Medical Plan with wellness benefits, Dental Plan, Paid Holidays, Paid Vacations, Associate Offers, and so much more! About Food City: Food City is a privately held, family-owned company with a driving mission to ""run the best store in town."" Dedicated to giving back to the communities we serve, we encourage our associates to get involved with their local civic organizations. We consider our associates to be our greatest asset. Over 13% of the company is currently owned by our associates through our employee stock ownership plan, promoting tremendous pride in the services and products we provide. Whether your passion is baking, accounting, or trucking, Food City has a promising career opportunity for you. We offer flexible schedules to ensure our associates have ample time to spend with family and friends. If you're looking for a great career or the opportunity to try something different, consider becoming part of the Food City family. .
Show less "
33,,,Internship,"A social brand discovery platform that enables consumers to discover brands consistent with their values, fueled by a community of brands, creators, and tastemakers. The Social Media & Influencer Marketing Intern will support the execution and coordination of social media content (Tik Tok & Instagram), influencer marketing and community-building initiatives. 




This person must have an interest in the new generation of conscious design-forward brands. We are looking for someone who can demonstrate that they have creative storytelling skills, and equally strong organization and communications skills. This person should be a team player, creative thinker, and a solutions-oriented go-getter. 




By driving social engagement and brand awareness, you’ll play an important role in our growth. We are looking for an intern to start asap and continue through end of Spring or Summer. Candidates will need to commit a minimum of 15 hours per week. 




Responsibilities:

Social media content creation, management and execution 
Influencer marketing research, outreach and coordination 
Community-building initiatives and activations 




Qualifications: 

Prior internships experience preferred 
Strong relationship building & communications skills  
Ability to work in a fast-paced environment, high-pressure environment
Self-sufficient, resourceful and solutions-oriented 
Bachelor’s Degree pending (currently enrolled) 
Remote or NYC based 




Location: Remote 

Credit-based internship opportunity

Show less "
34,Management and Manufacturing,Retail,Entry level,"FL - Clearwater - Clearwater - 2859

Job Summary

Barnes & Noble has a special place in the community, and this holds true whether you shop in our bookstores or in our Cafes. Baristas make the experience special by welcoming each guest and creating the perfect handcrafted beverages. They are also the first to try and experiment with new roasts and blends. A barista is the first step to a wonderful career, and we have plenty of opportunities for you to grow with us. If you enjoy sharing your love for coffee, then this could be the perfect position for you.

As a barista, you provide first class service to our customers with every drink you create and every cookie you bake, ensuring their experience is your top priority. You make the customer experience pleasurable and provide the perfect complement to any book. Your passion for coffee, creating inspiring drinks and your knowledge of the Cafe ensures that customers are delighted by the handcrafted beverages you serve and look forward to coming into the Cafe again and again.

What You Do

Deliver the perfect beverage that exceeds customer expectations with your ability to engage, build rapport, listen, and provide friendly, fast service as you go through a tailored order creating approach.
Make relevant beverage and food recommendations ensuring an engaging experience with the customers that connects them with the right products to meet their needs.
Ensure that the Cafe is welcoming to all customers by having a stocked bake case and neatly displayed merchandise.
Take pride in the Cafe and place a priority on ensuring a clean and tidy environment knowing that cleanliness encompasses all aspects of the customer experience.
Execute all operational standards correctly, in a timely manner and in accordance with the cafe standards, safety and health codes.
Protect company assets by adhering to all processes and working efficiently to control waste and shrink.
Recognize and offer to help both customers and employees with urgency and care.
Work in the Cafe which requires physical activity (i.e., prolonged standing, repetitive bending, lifting, climbing, operating espresso machines), and sales floor when needed.

Knowledge & Experience

Passionate about the products we serve.
Positive and can-do attitude.
Enjoy working with people.
Listen to people and enjoy solving problems.
Make correct recommendations for handcrafted beverages and food items that satisfy the customer.
Well-organized, efficient, and able to multi-task.
Can clearly and respectfully communicate and express oneself.

Expected Behaviors

Treat customers as the first priority at all times.
Take initiative and consistently grow and expands cafe knowledge.
Enjoy making recommendations and engaging with others.
Exhibit and demonstrate initiative.
Support company goals and initiatives and is a team player.
Show respect and kindness to fellow employees and customers.
Accept responsibility and execute all assignments correctly and with care.
Accept coaching and feedback from others openly.
Flexible and can adapt to an ever-changing environment.

Auto req ID

65629BR

Employment Type

Part-Time

City

Clearwater

State

Florida

EEO Statement

Barnes & Noble is an equal opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to age, race, color, ancestry, national origin, citizenship status, military or veteran status, religion, creed, disability, sex, sexual orientation, marital status, medical condition as defined by applicable law, genetic information, gender, gender identity, gender expression, hairstyle, pregnancy, childbirth and related medical conditions, reproductive health decisions, or any other characteristic protected by applicable federal, state, or local laws and ordinances. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format using a sign language interpreter, or using specialized equipment. Contact (800) 799-5335.
Show less "
35,Other,Retail,Not Applicable,"Atuará nas atividades internas e demais funções pertinentes ao cargo. Necessário conhecimento na área de atuação.

Beneficios

Formação Acadêmica:

Não informado

Experiência

Salário:

A combinar

Cargo

Auxiliar Mecânico

Empresa

Iguaçu Máquinas

Comércio de máquinas agrícolas.

Ramo

Comércio Varejista
Show less "
36,Management and Manufacturing,Retail,Entry level,"TX - Austin - Sunset Valley - 2928

Job Summary

Barnes & Noble has a special place in the community, and this holds true whether you shop in our bookstores or in our Cafes. Baristas make the experience special by welcoming each guest and creating the perfect handcrafted beverages. They are also the first to try and experiment with new roasts and blends. A barista is the first step to a wonderful career, and we have plenty of opportunities for you to grow with us. If you enjoy sharing your love for coffee, then this could be the perfect position for you.

As a barista, you provide first class service to our customers with every drink you create and every cookie you bake, ensuring their experience is your top priority. You make the customer experience pleasurable and provide the perfect complement to any book. Your passion for coffee, creating inspiring drinks and your knowledge of the Cafe ensures that customers are delighted by the handcrafted beverages you serve and look forward to coming into the Cafe again and again.

What You Do

Deliver the perfect beverage that exceeds customer expectations with your ability to engage, build rapport, listen, and provide friendly, fast service as you go through a tailored order creating approach.
Make relevant beverage and food recommendations ensuring an engaging experience with the customers that connects them with the right products to meet their needs.
Ensure that the Cafe is welcoming to all customers by having a stocked bake case and neatly displayed merchandise.
Take pride in the Cafe and place a priority on ensuring a clean and tidy environment knowing that cleanliness encompasses all aspects of the customer experience.
Execute all operational standards correctly, in a timely manner and in accordance with the cafe standards, safety and health codes.
Protect company assets by adhering to all processes and working efficiently to control waste and shrink.
Recognize and offer to help both customers and employees with urgency and care.
Work in the Cafe which requires physical activity (i.e., prolonged standing, repetitive bending, lifting, climbing, operating espresso machines), and sales floor when needed.

Knowledge & Experience

Passionate about the products we serve.
Positive and can-do attitude.
Enjoy working with people.
Listen to people and enjoy solving problems.
Make correct recommendations for handcrafted beverages and food items that satisfy the customer.
Well-organized, efficient, and able to multi-task.
Can clearly and respectfully communicate and express oneself.

Expected Behaviors

Treat customers as the first priority at all times.
Take initiative and consistently grow and expands cafe knowledge.
Enjoy making recommendations and engaging with others.
Exhibit and demonstrate initiative.
Support company goals and initiatives and is a team player.
Show respect and kindness to fellow employees and customers.
Accept responsibility and execute all assignments correctly and with care.
Accept coaching and feedback from others openly.
Flexible and can adapt to an ever-changing environment.

Auto req ID

65879BR

Employment Type

Part-Time

City

Austin

State

Texas

EEO Statement

Barnes & Noble is an equal opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to age, race, color, ancestry, national origin, citizenship status, military or veteran status, religion, creed, disability, sex, sexual orientation, marital status, medical condition as defined by applicable law, genetic information, gender, gender identity, gender expression, hairstyle, pregnancy, childbirth and related medical conditions, reproductive health decisions, or any other characteristic protected by applicable federal, state, or local laws and ordinances. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format using a sign language interpreter, or using specialized equipment. Contact (800) 799-5335.
Show less "
37,Purchasing,Retail,Entry level,"If you're someone who has a genuine desire to help people live better and healthier lives, join us as we work to be a trusted resource in our communities, offering real people, real food at real affordable prices across the Midwest. If you are ready to immerse yourself in an environment, that helps shoppers naturally, intuitively, and enjoyably find real, honest, affordable goodness to meet them wherever they are on their wellness journey, we'd like to hear from you. Join us to begin YOUR journey and be a part of the Fresh Thyme Market Team! Fresh Thyme Rewards




Weekly pay
Scheduling flexibility
Paid parental leave
Care.com/back-up care assistance
Team member discount
Career growth opportunities . Are you passionate about the retail grocery market and organic products? Are you a leader? Are you ready to join one of the fastest growing companies in the retail grocery market? If so, Fresh Thyme Farmers Market is the place for you! Our unique business model, fast paced and growing environment, promote from within culture, and excellent benefits make Fresh Thyme the best employer in the grocery market. Careers have been blooming at Fresh Thyme since our inception in 2012 - yours should be no different! The Grocery Clerk is responsible for keeping all store grocery shelves stocked and clean during business hours. They are required to assist customers as needed and maintain a friendly, energetic demeanor. This position requires adhering to all procedural guidelines set by the Grocery Department. . Essential Duties & Responsibilities
Ensures cleanliness of grocery shelves, storage area, and work area for safety; includes cleaning of shelves and products, keeping floors free of liquid spills or water, removing hazardous debris from floor and sweeping.
Stocks grocery shelves; includes presentation of product, facing, filling, and organization of all product items as set by the Grocery Department schematics as well as ensuring tag and pricing accuracy.
Examines the rotation of all grocery products paying particular attention to expired stock and discarding outdated or spoiled items.
Responds positively to customer's inquiries and assists customers with purchases, information and product selection; requires selling and cross selling of products.
Receives, inspects, and logs products for accuracy of shipment, temperature, and quality.
Monitors the point of purchase signs; ensures a variety of recipe cards, product coupons, promotional material, and information on complimentary foods.
Requires operating and using equipment such as knives, scales, wrappers, compactors, garbage disposals, pallet jacks, and hand trucks.
Uses knowledge of scales and weight measures to accurately weigh and label products.
Cuts and stacks cases for building grocery displays as well as price and mark merchandise.
Participates in pre-inventory preparation; includes back stock and assuring tags match products.
Sustains a high level of product knowledge and product preparation.
Walks department regularly to ensure an organized, sanitary, and overall clean appearance at all times.
Other duties as assigned. Education and Experience
High school diploma or equivalency degree.
Preferred 1 -2 years grocery retail experience in Grocery department processes and procedures.
Previous experience in a natural foods industry is a plus. Knowledge, Skills, and Abilities
Must maintain the highest level of customer service at all times.
Ability to adapt to the ever changing high volume retail while working in a cross-functional team environment.
Must have the capacity to take initiative when problems arise.
Flexibility to adapt in a variety of situations.
Must have advanced attention to detail with the capability to prioritize and meet deadlines.
Excellent verbal communication and interpersonal skills for dealing cross functionally with peers and senior management.
Ability to multitask and have excellent organizational skills is essential.
Must be able to support and contribute to team goals.
Ability to work varied hours/days as business dictates.
Must be familiar with Health Department guidelines and regulations as they pertain to a grocery retail environment.
Must have basic knowledge of math, weights, and measures.
Must understand proper handling, preparation, seasonality, and appropriate shelf life of products. Job Function Analysis Physical Demands
Sit Rarely 1-2 hours
Stand Continuously 1-8 hours
Walk Continuously 2-8 hours
Drive Frequently 2-4 hours
Balance Frequently 34-66%
Bend Occasionally 1-33%
Climb (2-6 ft) Occasionally 1-33%
Crawl Occasionally 1-33%
Crouch/Squat Occasionally 1-33%
Kneel Occasionally 1-33%
Reach (forward & overhead) Frequently 34-66%
Twist (45 degrees at waist) Occasionally 1-33% Lifting/Carrying
0-10 lbs. Occasionally 1-33%
11-25 lbs. Occasionally 1-33%
26-50 lbs. Occasionally 1-33%
51-100 lbs. Never 0% Repetitive Motion Right & Left Grasping Frequently 34-66% Fine Manipulation Occasionally 1-33% Pushing and Pulling Occasionally 1-33% Lower extremities Never 0% Environmental Conditions: Some extreme temperatures are possible. Some ventilation and exhaust fans.
Show less "
38,Other,Retail,Entry level,"Job Description

In this Customer CARE Specialist 2 role, you will be the voice of Nordstrom and/or Nordstrom Rack, fielding real-time calls in a virtual, call center environment from customers across the country. The ideal Customer CARE Specialist is caring and compassionate, enthusiastic, solutions-oriented and committed to providing outstanding service to all our customers.

This role is a fully remote, work from home position. Candidate location restrictions apply. Nordstrom can offer remote employment of this position in: Nevada

Shifts:

Full-time. Shift times will vary upon business need. Schedule flexibility, including nights, weekends, and holidays, is required.

Paid! Training:  

Orientation: 1 week (Tuesday – Friday) 7:00AM – 4:00PM PST

Training: 3 weeks (Monday – Friday) 7:00AM – 4:00PM PST (Attendance at training is required)

 

Pay: Pay range for this position in Nevada: $16.60 - $17.05

Work from Home Subsidy! $50/month 


A day in the life…

Act as a Brand Ambassador for the Nordstrom company, providing world-class service to all Customers
Successfully troubleshoot and resolve all customer service inquiries or issues via incoming phone/email and/or chat contacts
Provide Customers with critical service and product information, ensuring customer satisfaction
Process orders and enter data into order entry system
Track customer packages
Other duties as assigned


You own this if you have…

6+ months experience within a customer service-focused environment, such as contact center, retail, hospitality, or food and beverage (preferred)
The ability to meet the Nordstrom and Nordstrom Customer CARE Work from Home Guidelines and expectations
Excellent communication skills
The ability to work in a fast-paced environment and demonstrate a high sense of urgency
Understanding of computer systems and troubleshooting issues with minimal assistance
Ability to work a set schedule (scheduled start, stop, breaks and lunches), including nights, weekends, and holidays, with required overtime as business needs; flexibility required during peak times
A quiet, distraction free, secure home workspace  
The ability to work your entire shift using a computer while stationed at a desk, wearing a headset, and turn on the camera when requested by leadership
Wired, high-speed Internet, Modem or Router w/ Ethernet Port – Thin client must connect directly (No Satellite Internet or Wi-Fi)


We’ve got you covered…

Our employees are our most important asset and that’s reflected in our benefits. Nordstrom is proud to offer a variety of benefits to support employees and their families, including:

Medical/Vision, Dental, Retirement and Paid Time Away
Life Insurance and Disability
Merchandise Discount and EAP Resources


A few more important points...

The job posting highlights the most critical responsibilities and requirements of the job. It’s not all-inclusive. There may be additional duties, responsibilities and qualifications for this job.

Nordstrom will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.

Applicants with disabilities who require assistance or accommodation should contact the nearest Nordstrom location, which can be identified at www.nordstrom.com.

© 2022 Nordstrom, Inc

Current Nordstrom employees: To apply, log into Workday, click the Careers button and then click Find Jobs.

Pay Range Details

The pay range(s) below are provided in compliance with state specific laws. Pay ranges may be different in other locations.

Nevada: $16.50-$28.00 hourly
Show less "
39,Management and Manufacturing,Retail,Entry level,"WA - Lynnwood - Alderwood - 2888

Job Summary

Barnes & Noble has a special place in the community, and this holds true whether you shop in our bookstores or in our Cafes. Baristas make the experience special by welcoming each guest and creating the perfect handcrafted beverages. They are also the first to try and experiment with new roasts and blends. A barista is the first step to a wonderful career, and we have plenty of opportunities for you to grow with us. If you enjoy sharing your love for coffee, then this could be the perfect position for you.

As a barista, you provide first class service to our customers with every drink you create and every cookie you bake, ensuring their experience is your top priority. You make the customer experience pleasurable and provide the perfect complement to any book. Your passion for coffee, creating inspiring drinks and your knowledge of the Cafe ensures that customers are delighted by the handcrafted beverages you serve and look forward to coming into the Cafe again and again. An employee in this position can expect a hourly rate starting at $15.75

Benefits

Part- time less than 20 hours per week: Sick pay equal to 1 hour for every 40 hours worked, Employee Discount

Part-time 20 - 29.99 per week: 24 – 34 hours of sick time each year based on your scheduled hours, Employee Discount, 1 week of vacation your first year and 2 weeks thereafter based on your scheduled hours, 1 Personal Day your first year and 2 days thereafter, 6 Company Holidays, 401(k)

Full Time 30+ hours per week: 36-48 hours of sick time each year based on your scheduled hours, Employee Discount, 1 week of vacation your first year and 2 years thereafter based on your scheduled hours, 1 Personal Day your first year and 2 days thereafter, 6 Company Holidays, 401(k). Employee may enroll in Benefits for themselves and eligible dependents which includes Medical Benefits, Vision Benefits, Dental Benefits.

Employee is eligible to participate in additional benefits which includes Disability, Life Insurance, Transit, Tuition Reimbursement

What You Do

Deliver the perfect beverage that exceeds customer expectations with your ability to engage, build rapport, listen, and provide friendly, fast service as you go through a tailored order creating approach.
Make relevant beverage and food recommendations ensuring an engaging experience with the customers that connects them with the right products to meet their needs.
Ensure that the Cafe is welcoming to all customers by having a stocked bake case and neatly displayed merchandise.
Take pride in the Cafe and place a priority on ensuring a clean and tidy environment knowing that cleanliness encompasses all aspects of the customer experience.
Execute all operational standards correctly, in a timely manner and in accordance with the cafe standards, safety and health codes.
Protect company assets by adhering to all processes and working efficiently to control waste and shrink.
Recognize and offer to help both customers and employees with urgency and care.
Work in the Cafe which requires physical activity (i.e., prolonged standing, repetitive bending, lifting, climbing, operating espresso machines), and sales floor when needed.

Knowledge & Experience

Passionate about the products we serve.
Positive and can-do attitude.
Enjoy working with people.
Listen to people and enjoy solving problems.
Make correct recommendations for handcrafted beverages and food items that satisfy the customer.
Well-organized, efficient, and able to multi-task.
Can clearly and respectfully communicate and express oneself.

Expected Behaviors

Treat customers as the first priority at all times.
Take initiative and consistently grow and expands cafe knowledge.
Enjoy making recommendations and engaging with others.
Exhibit and demonstrate initiative.
Support company goals and initiatives and is a team player.
Show respect and kindness to fellow employees and customers.
Accept responsibility and execute all assignments correctly and with care.
Accept coaching and feedback from others openly.
Flexible and can adapt to an ever-changing environment.

Auto req ID

65578BR

Employment Type

Part-Time

City

Lynnwood

State

Washington

EEO Statement

Barnes & Noble is an equal opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to age, race, color, ancestry, national origin, citizenship status, military or veteran status, religion, creed, disability, sex, sexual orientation, marital status, medical condition as defined by applicable law, genetic information, gender, gender identity, gender expression, hairstyle, pregnancy, childbirth and related medical conditions, reproductive health decisions, or any other characteristic protected by applicable federal, state, or local laws and ordinances. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format using a sign language interpreter, or using specialized equipment. Contact (800) 799-5335.
Show less "
40,Administrative,Retail,Entry level,"Between 25 to 30 hour weekly




Answer customer phone calls and make outgoing customer calls
Create work orders in BMS
Print and map work orders
Assist in update customer information, add equipment to BMS, files and map card
Assist in create, update, print, and map work orders as well as prepare daily work folders
File customer documents in hard copy files
Mail merge letters and labels for customer correspondence
Assist in organizing daily folders for service technicians
Email/Call customers to follow up on outstanding agreements Company Description Rix Pool Spa and Sauna retail and service co




Rix Pool Spa and Sauna retail and service co
Show less "
41,Purchasing,Retail,Entry level,"If you're someone who has a genuine desire to help people live better and healthier lives, join us as we work to be a trusted resource in our communities, offering real people, real food at real affordable prices across the Midwest. If you are ready to immerse yourself in an environment, that helps shoppers naturally, intuitively, and enjoyably find real, honest, affordable goodness to meet them wherever they are on their wellness journey, we'd like to hear from you. Join us to begin YOUR journey and be a part of the Fresh Thyme Market Team! Fresh Thyme Rewards




Weekly pay
Scheduling flexibility
Paid parental leave
Care.com/back-up care assistance
Team member discount
Career growth opportunities . All positions at Fresh Thyme Market are required to execute their daily job responsibilities in addition to focusing on sales and customer service. It is the expectation of each employee to maintain a positive attitude and a willingness to be a team player. The Produce Clerk is responsible for keeping the Produce Department stocked and clean during business hours. They are required to assist customers as needed and maintain a friendly, energetic demeanor. This position requires adhering to all procedural guidelines set by the Produce Department. . Essential Duties & Responsibilities
Ensures cleanliness of produce department, floral area, storage area, and work area for safety; includes cleaning of shelves and products, keeping floors free of liquid spills or water, removing hazardous debris from floor and sweeping.
Stocks produce/floral department; includes presentation and rotation of product, facing, filling, and organization of all product items as set by the Produce Department schematics as well as ensuring tag and pricing accuracy. * Â
Responds positively to customer's inquiries and assists customers with purchases, information and product selection; requires selling and cross selling of products.
Receives, inspects, and logs products for accuracy of shipment, temperature, and quality.
Monitors the point of purchase signs; ensures a variety of recipe cards, product coupons, promotional material, and information on complimentary foods.
Requires operating and using equipment such as knives, scales, wrappers, compactors, garbage disposals, pallet jacks, and hand trucks.
Participates in pre-inventory preparation; includes back stock and assuring tags match products.
Participates and runs the cut fruit and vegetable program.
Takes responsibility for the sales and profitability in the department.
Sustains a high level of product knowledge and product preparation.
Walks department regularly to ensure an organized, sanitary, and overall clean appearance at all times.
Other duties as assigned. Education and Experience
High school diploma or equivalency degree.
Preferred 1 -2 years grocery retail experience in Floral department processes and procedures.
Previous experience in a natural foods industry is a plus. Knowledge, Skills, and Abilities
Must maintain the highest level of customer service at all times.
Ability to adapt to the ever changing high volume retail while working in a cross-functional team environment.
Must have the capacity to take initiative when problems arise.
Flexibility to adapt in a variety of situations.
Must have advanced attention to detail with the capability to prioritize and meet deadlines.
Excellent verbal communication and interpersonal skills for dealing cross functionally with peers and senior management.
Ability to multitask and have excellent organizational skills is essential.
Must be able to support and contribute to team goals.
Ability to work varied hours/days as business dictates.
Must be familiar with Health Department guidelines and regulations as they pertain to a grocery retail environment.
Must have basic knowledge of math, weights, and measures.
Must have the ability to push and pull fully loaded hand trucks and use box cutters.
Must understand proper handling, preparation, seasonality, and appropriate shelf life of products. Job Function Analysis Physical Demands
Sit Rarely 1-2 hours
Stand Continuously 1-8 hours
Walk Continuously 2-8 hours
Drive Frequently 2-4 hours
Balance Frequently 34-66%
Bend Occasionally 1-33%
Climb (2-6 ft) Occasionally 1-33%
Crawl Occasionally 1-33%
Crouch/Squat Occasionally 1-33%
Kneel Occasionally 1-33%
Reach (forward & overhead) Frequently 34-66%
Twist (45 degrees at waist) Occasionally 1-33% Lifting/Carrying
0-10 lbs. Occasionally 1-33%
11-25 lbs. Occasionally 1-33%
26-50 lbs. Occasionally 1-33%
51-100 lbs. Never 0% Repetitive Motion Right & Left Grasping Frequently 34-66% Fine Manipulation Occasionally 1-33% Pushing and Pulling Occasionally 1-33% Lower extremities Never 0% Environmental Conditions: Some extreme temperatures are possible. Some ventilation and exhaust fans.
Show less "
42,Purchasing,Retail,Entry level,"Essential Job Functions




Responsible for cutting and merchandising of all fresh meat.
Assist in ordering, receiving and displaying all product.
Grind meat.
Slice meat.
Assist in organizing cooler arrangement and stocking of cooler.
Responsible for rotation of product.
Maintain neat and clean appearance of all display cases.
Maintain good code dates on all product in display cases.
Keep work station and area around work station neat and clean.
Department is to be sanitized and disinfected twice a day.
Provide efficient and courteous service to customers.
Assist in enforcing and maintaining the company HACCP program. Qualifications:
Must be 18 years of age or older
Meat cutting experience a plus, but not required
Ability to meet standard Physical, Mental, and Visual demands
Ability to understand and follow verbal and/or written instructions, perform routine and repetitive tasks and have constant contact/interaction with various levels of individuals on a daily basis
Ability to attend on-site work during scheduled shifts to adhere to company time and attendance policies Benefits of working for Food City: 401(k) with company match, Employee Stock Ownership Plan, Weekly Pay Checks with Direct Deposit, Company paid Life and Disability Insurance, Medical Plan with wellness benefits, Dental Plan, Paid Holidays, Paid Vacations, Associate Offers, and so much more! About Food City: Food City is a privately held, family-owned company with a driving mission to ""run the best store in town."" Dedicated to giving back to the communities we serve, we encourage our associates to get involved with their local civic organizations. We consider our associates to be our greatest asset. Over 13% of the company is currently owned by our associates through our employee stock ownership plan, promoting tremendous pride in the services and products we provide. Whether your passion is baking, accounting, or trucking, Food City has a promising career opportunity for you. We offer flexible schedules to ensure our associates have ample time to spend with family and friends. If you're looking for a great career or the opportunity to try something different, consider becoming part of the Food City family.
Show less "
