,Job Function,Industry,Seniority,Job Description
35,Management and Manufacturing,Primary and Secondary Education,Entry level,"General Responsibilities

The position is responsible for working under general supervision to perform Virginia Department of Education (VDOE) State mandated inspections, preventive maintenance, and basic to intermediate diagnostics and repairs on gas, diesel, and alternative fuel powered automobiles, buses, light/ heavy trucks and other fleet equipment. In addition, the position is responsible for performing basic/minor collision repair on vehicles, and wheel/tire inspections, repairs, and installations.

Essential Tasks

Perform essential maintenance, including VDOE inspections on light to heavy-duty fleet vehicles and equipment.
Perform various basic to intermediate diagnostic and repair operations on light to heavy-duty fleet vehicles and equipment.
Operate, test drive and transport fleet vehicles to various locations for warranty and special repairs.
Assist in ancillary shops operations supporting organizational goals.
Clean and maintain assigned work area including common shop areas and facility grounds, e.g., maintain recyclables, address fluid spills, and organize bulk storage of tires and barrels.
Dispense vehicle fuels and other essential fluids.
Complete required forms and input required information into the fleet management information system, in a timely manner.
Operate a tow/service truck; respond to disabled vehicles in the field during or after normal business hours.
Provide courteous, high quality service to operators by personally responding to requests for service or referral to appropriate designee.
Perform related work as required.
DUTIES ASSIGNED TO JOB FUNCTION

Maintenance/Repair Team Member

Perform routine preventive maintenance on fleet vehicles and equipment including but not limited to: lubrication and oil changes; seat repair; brake, wheel, tire and battery services; belt, hose, headlight, and basic component replacement.
Perform basic to intermediate skill-level repair work on fleet vehicles and equipment including but not limited to: alternator, starter, water pump replacement and auxiliary equipment installation.
Perform basic to intermediate troubleshooting and diagnosis of mechanical/electrical problems.
Perform VDOE mandated safety inspections on specified vehicles.
Assist senior level technicians with intermediate/advanced maintenance, repair, and overhaul work.
KNOWLEDGE, SKILLS AND ABILITIES

Must have a working knowledge of gas and diesel engines; various mechanical, electrical, pneumatic, hydraulic, mobile HVAC and computer controlled systems; basic mechanical/electrical diagnostic techniques and procedures; and industry standard preventive maintenance and inspection methods. Must have knowledge of the VDOE pupil transportation maintenance regulations. Must have a thorough knowledge of shop and field safety practices, and hazardous material spill and disposal procedures. Must be skilled in the use of vehicle testing, tire service equipment, and hand and shop tools/equipment to identify maintenance/safety problems in a multitude of mechanical, electrical, pneumatic, hydraulic, HVAC and computer controlled systems, independently. Must have the ability to skillfully perform routine preventive maintenance, inspections, and basic to intermediate vehicle repair and collision body work on fleet equipment; compute estimate and actual costs for labor and materials; operate fleet vehicles and equipment; establish effective working relationships with colleagues, division employees and vendors; and demonstrate the department's goal of excellent customer service. Must be able to communicate effectively in oral and written form, and use electronic record keeping and fleet management systems.

Required

EDUCATION AND EXPERIENCE

High School Diploma or GED.
A valid Virginia Driver's License (required at the time of appointment).
A valid Virginia Class B Commercial Driver's License (CDL) (required within six (6) months of appointment).
A Forklift Operators license (required within six (6) months of appointment).
Possession of/or actively acquiring necessary personal tools consistent with industry standards.

Preferred

Industry relevant certification in vehicular repair from an accredited college or trade school.
Two (2) years of technical hands-on experience servicing and repairing vehicles and equipment in a commercial, industrial, or municipal environment.
One (1) or more current individual ASE certifications in any of the following test series: Maintenance and Light Repair, Automobile Technician, School Bus Technician, Medium/Heavy Truck Technician.
A valid Class A Commercial Driver's License.
A valid EPA 609 MVAC Technician Certification.
A valid Class A Virginia Safety Inspectors License.
HOW TO APPLY

Please see ""Job Posting Link"" below for a complete job description.

External Applicants: If you are interested in applying for this position, you must create an account. Please select ""Login and Apply"" from the bottom of this posting. After creating an account, please login, complete the online application, and apply for this job.

Eligible Internal Applicants: Follow these instructions to complete a transfer application. After creating an account, please complete the application and apply for this job.

Reports To Director of Transportation

Full Time or Part Time? Full Time

Job Posting Link https://vbschoolscom.finalsite.com/fs/resource-manager/view/00158162-a7e5-46fb-8aaa-defccb534c40

Salary Range: From/To

Hourly rate range: $18.53-$32.57

Compensation will be based on job-related creditable years of full-time, verified work experience. The entry-level rate will be awarded at the time of hire. Upon the return of employment verification forms from the candidate's current and previous employers, the rate will be adjusted if creditable full-time experience is confirmed.

VBCPS offers a full range of benefits including health insurance, paid life insurance, paid sick/annual leave, tuition reimbursement, professional development and membership in the Virginia Retirement System.

Unified Experience Based Step Pay Scale : U11

FTE 1.000

Start Date 2022-2023 School Yr

Additional Job Information

A minimum of three references are required in the reference section of your application. One of the three must be a current or most recent former supervisor.

Hourly rate range: $18.53-$32.57

Compensation will be based on job-related creditable years of full-time, verified work experience. The entry-level rate will be awarded at the time of hire. Upon the return of employment verification forms from the candidate's current and previous employers, the rate will be adjusted if creditable full-time experience is confirmed.

VBCPS offers a full range of benefits including health insurance, paid life insurance, paid sick/annual leave, tuition reimbursement, professional development and membership in the Virginia Retirement System.

Unified Experience Based Step Pay Scale : U11
Show less "
36,Other,Real Estate,Entry level,"Company Overview

BesTitle Agency, Inc. is a full-service title insurance agency specializing in residential and commercial transactions throughout the Tri-State area of Ohio, Kentucky, and West Virginia. We are attorney-owned and managed and have been serving the Tri-State since 1991.

Position Overview

BesTitle Agency, Inc. is seeking a Processor for our growing business in the Tri-State Area.

Primary Responsibilities

Organize files based on Lender requirements.
Complete updates/revisions as they come in.
Fact-check all documents for accuracy.
Answer questions from Lenders about the process or documents.


Requirements And Qualifications

High school diploma or equivalent.
Customer service
Experience with real estate procedures is a plus
High attention to detail


Benefits And Pay

Holiday Pay after 60 days of employment
Paid time off after 60 days of full-time employment.
Simple IRA retirement program.
Insurance.
Pay is based on related experience.
This is a Monday through Friday schedule, 8:30-5:00 with overtime if need be.


To apply quickly please visit our website at Careers - OH, WV & KY Title Company | BesTitle Agency, Inc to send your resume!
Show less "
37,Health Care Provider,Hospitals and Health Care,Entry level,"Requisition #: req6566

Shift: Days

FTE status: 1

On-call: No

Weekends: No

General Summary

Under the direction of a Registered Nurse (RN), the Patient Care Technician (PCT) provides basic nursing care to patients and performs related tasks necessary to support the unit.

Requirements
Minimum High School Diploma or GED required.
Must meet one of the following requirements:
Current Certified Nurse Aide (CENA) certification, or
Current enrollment (and continued progression) in a health science program required with completion of nursing fundamentals course and/or one clinical rotation preferred. Equivalent enrollment considered will include but is not limited to: Nursing School, Pre-PA School, Medical School, or closely related health science program, or
Equivalent experience. Equivalent experience considered will include but is not limited to: Medical Assistant, Paramedic, Medical First Responder, EMT, Nurse Tech, Resident Aid/Assistant, or LPN.
Basic understanding of Medical Terminology, Anatomy, Physiology, and Patient Confidentiality is preferred.
Current Basic Life Support (BLS/CPR) provider required.
Experience in acute care or extended care facility preferred.
Able to successfully complete unit-specific core competencies as defined in the orientation check-list.

Essential Functions And Responsibilities

ACTIVITY / COMFORT: Assist patients with activity of daily living and provides for patient comfort. This responsibility includes making occupied and unoccupied beds; turning and positioning patients in bed; ambulating and dangling patients; transfers patients; performs passive and assisting with active range-of-motion exercises.
HYGIENE: Assist patients with hygiene activities.
PROCEDURES: Indwelling urinary catheter care (excluding insertion, removal and irrigation); changing non-sterile dressings; providing ileostomy/colostomy care.
Assisting with postmortem care.
NUTRITION: Assist patients with nutrition including passing trays, snacks and drinking water; feeding patients; and measuring and recording intake from dietary trays.
ELIMINATION: Assist patients with elimination needs recording accurate input and output. Empties other drains as designated by the RN.
SPECIMEN COLLECTION: Collects and labels sputum, urine, and stool specimens for laboratory testing; testing urine for sugar, acetone, blood or pH; straining urine for kidney stones; and using the glucometer to test blood glucose levels.
VITAL SIGNS / MEASUREMENT: Measures and record accurate vital signs and weight including oral and tympanic temperature, radial and apical pulse, blood pressure, respiratory rate; and using standing, chair, sling and bed scales to measure weight.
EQUIPMENT: Uses equipment and supplies safely and appropriately. This includes assisting patients with incentive spirometry; setting up oxygen flow meters; setting up suction equipment and disposing of suction canisters; and applying and removing ice bags, moist or dry heat, ace bandages, arm slings, binders, supports, anti-embolism stockings, sequential compression devices (SCDs), restraints.
INFECTION CONTROL: Assists with controlling the spread of infection by using aseptic technique; adhering to universal/standard precautions; caring appropriately for patients with special isolation precautions; passing clean linen and bagging and disposing of soiled linen; replacing full sharps containers; cleaning equipment between patients’ use; and cleaning equipment prior to return to Central Processing Department (CPD).
DOCUMENTATION: Document care given as directed by the RN.
COMMUNICATION: Communicates effectively using Vocera, unit paging system, telephone system and pneumatic tube system; answering patient call lights; reporting observations to the RN; keeping the RN informed of care delivered; maintaining patient confidentiality.
Performs other duties as assigned. These may include but are not limited to: Performing tasks assigned by the Registered Nurse in charge to facilitate department efficiency. Maintaining a current knowledge base of department processes and procedures for patient care, pursuing self-directed learning and continuing education opportunities, and participating on committees, task forces, and work groups as determined by management.
Show less "
38,Management and Manufacturing,Truck Transportation,Entry level,"The Transit Authority of River City (TARC) is seeking an experienced Mechanic for our 24/7 operation, including weekends and holidays. Candidates must be able to work shifts or flexible work schedules as needed, including nights, weekends and holidays.

Duties

Plans work using experience, charts, and/or manuals.
Performs ""road calls.""
Makes road repairs; makes arrangements for available coach for drivers
Repairs or replaces parts in transmission, adjust brakes, treadle values using mechanics hand tools and lubricating.

Minimum Qualifications

18 years of age
Current valid Driver’s License
No Moving Violations in the past 24 months
No convictions within the past 5 years
Ability to pass DOT physical and drug screen
Ability to obtain and maintain Class B CDL with Passenger endorsement (CDL Permit is acceptable if obtained prior to date of hire).
Successful performance on test(s)
Minimum of 3 years diesel mechanic experience or 5 years automotive experience for Mechanic “A”
Applicants must be eligible to work in the United States and be able to pass a criminal background check and motor vehicle driving review.

Comprehensive Benefits/Pay

“A” Mechanic starting hourly rate of $26.82
Medical, Dental, Vision, Life and Disability Insurance
Participation in County Employee Retirement System
Paid Holiday
Paid Sick Leave and Vacation

Transit Authority of River City (TARC) is an equal opportunity employer with a strong commitment to the community we serve. Applicants shall not be discriminated against based on race, color, religion, national origin, sex (including gender identity, sexual orientation, and pregnancy), age, genetic information, disability, veteran status, or other protected class.

Reasonable accommodations may be made for those who are able to perform the essential duties of the position.

TARC is a Drug Free Workplace
Show less "
39,Other,Hospitals and Health Care,Entry level,"At WelbeHealth, we like to do things a little differently. We go the extra mile and make a difference in our participants’ lives. Our Caregivers are a vital part of our team, by providing aid to our participants in their homes, as well as contributing to the care planning process as an equal part of our interdisciplinary team (IDT). We are driven to offer the best care for our participants and provide a positive work environment for our team.




Reporting to the Home Care Supervisor, the Caregiver will provide safe delivery of personal care services to WelbeHealth participants in their homes, as scheduled and directed




Essential Job Duties:




The Caregiver will provide personal care and assistance with activities of daily living (ADLs) to WelbeHealth participants, in their homes, including but not limited to bathing, dressing, grooming, dressing, toileting, transferring etc.
Assist participants with Instrumental Activities of Daily Living (IADLs), including but not limited to laundry, light housekeeping, shopping, etc.
Measure and document participants’ vital signs as instructed
Aid with light meal preparation and feeding in participants’ homes, ensuring participants are nourished and hydrated
Help participants with safe transfer in and out of their homes, and act as medical escort on vehicles and to medical appointments as assigned
As a Caregiver, you will assist the Rehabilitation department by carrying out a home exercise program as indicated in the care plan developed by the IDT, after sufficient training
Provide translation services as needed, if qualified




Job Requirements:




High School Diploma or Equivalency
Current Basic Life Support (BLS) / First Aid Certification required
Certified Nursing Assistant (CNA) certification or Home Health Aide (HHA) certification preferred
Bilingual preferred
Must be registered with Home Care Registry prior to start date




Benefits of Working at WelbeHealth Apply your caregiving expertise in new ways as we rapidly expand. You will have the opportunity to design the way we work in the context of an encouraging and loving environment where every person feels uniquely cared for.




Work/life balance – we mean it! 17 days of personal time off (PTO), 12 holidays observed annually, and sick time
401 K savings + match
Full-time work available
Mileage reimbursement
Medical insurance coverage (Medical, Dental, Vision)
And additional benefits




Salary/Wage base range for this role is $18.38 - $22.05 + Bonus + Equity. WelbeHealth offers competitive total rewards package that includes, 401k match, healthcare coverage and a broad range of other benefits. Actual pay will be adjusted based on experience and other qualifications.




COVID-19 Vaccination Policy




At WelbeHealth, our mission is to unlock the full potential of our vulnerable seniors. In this spirit, please note that we have a vaccination policy for all of our employees and proof of vaccination prior to employment is required.




Our Commitment to Diversity, Equity and Inclusion




At WelbeHealth, we embrace and cherish the diversity of our team members, and we're committed to building a culture of inclusion and belonging. We're proud to be an equal opportunity employer. People seeking employment at WelbeHealth are considered without regard to race, color, religion, sex, gender, gender identity, gender expression, sexual orientation, marital or veteran status, age, national origin, ancestry, citizenship, physical or mental disability, medical condition, genetic information or characteristics (or those of a family member), pregnancy or other status protected by applicable law.




Beware of Scams




Please ensure your application is being submitted through a WelbeHealth sponsored site only. Our emails will come from @welbehealth.com email addresses. You will never be asked to purchase your own employment equipment. You can report suspected scam activity to fraud.report@welbehealth.com
Show less "
40,Administrative,"Technology, Information and Internet",Not Applicable,"Description:

Nuclera is a venture-backed, founder-driven biotech company headquartered in Cambridge, UK with significant operations in Boston, USA. The company’s mission is to make biology accessible to everyone through desktop bioprinting. We are beginning this mission by making proteins accessible through the launch and on-going development of our eProtein desktop bioprinting platform. eProtein promises to be a breakthrough protein printing technology that brings rapid prototyping to the life science benchtop and accelerates the drug discovery process. Nuclera is entering the next phase of its growth with plans to dramatically expand its staff over the next 12-24 months offering extensive learning and career progression opportunities.

We are looking for a part-time Office Administrator to join our growing people team to be the first point of contact for visitors. This role will involve working with the HR and facilities team, assisting with planning and ordering items for social events and day to day needs. This role will be based in the US, Billerica office, with an expectation of working on-site.

This role will suit an individual who has great attention to detail, is well-organized and has excellent customer service skills. If you have worked in a fast-paced start-up that would be beneficial. The role is suited to a team player who is keen to join a collaborative and progressive business.

About the role:

Receptionist for the Billerica site - be the first point of contact via phone and face-to-face when visitors arrive.
Ensuring the entrance area, office area, conference rooms and phone booths in general are clean and welcoming for both internal and external visitors through regular inspections.
Keep inventory of lab supplies, packing materials (placing order when additional PPE is needed), general office supplies as well as ensuring the kitchen is fully stocked up with coffee, water, snacks etc.
Assist with planning and ordering items for social events, whether they be onsite or offsite events.
Assist with shipping and receiving for the office site. Sort incoming mail and distribute as appropriate.
Assist with visitor/customer onsite visits (getting NDA’s signed, ordering meals/drinks, local transportation if needed) and supporting onsite interview scheduling (booking rooms, scheduling time slots etc.)
Assist in ordering onsite supplies or other items requested by employees.
Any ad hoc projects delegated by the manager.


Requirements

Essential:

Attention to detail
Well-organized
Excellent customer service skills
Experience working in an office/facilities environment
Experience with Google Suite


Benefits

What we offer:

In addition to competitive salaries, we offer a range of benefits including:

Company Paid Holidays
Paid Time Off
Fresh fruit, tea, coffee, and snacks in the office
Organized summer events for staff and their families
Show less "
41,Information Technology and Other,"Technology, Information and Internet",Entry level,"We have been voted one of Outside Magazine’s Best Places to Work for the past FIVE years. SmartEtailing, founded in 1999, provides comprehensive website and marketing solutions for North American specialty bicycle retailers that drive sales and increase profits. With SmartEtailing, a bike shop’s website is transformed from a passive advertisement to an interactive, content-rich marketing vehicle that informs and sells to customers. This role will be fully remote.




Total Rewards and Perks include: Remote work, comprehensive medical for employees and eligible family members, dental, vision, 401(k) plan with employer match, paid community service hours, volunteer match program, product discounts and more. We offer an accrued Paid Time Off program of 14 days, in addition to ten paid holidays a year. Employees are also eligible for bonuses at the discretion of the company. The hiring range for this role is $17.25 to $20.25.




JOB PURPOSE

The Catalog Coordinator I is responsible for validating and enriching catalog data provided by our industry partners in our Product Information Management system (Akeneo PIM). PIM is our platform we use to collect, manage, govern, and enrich product information to marketing, sales, and eCommerce channels. Other responsibilities include ongoing catalog maintenance projects and product data manual entry. Our catalog supports over 1,200 independent bicycle retailers in North America.




REPORTING STRUCTURE

This position is a part of the Catalog Team and reports to the Catalog Team Manager and has no direct reports. This is a remote position.




JOB FUNCTIONS




Aid and support the importation of catalog product data into the Akeneo PIM
Quickly and efficiently enrich catalog product data per our style guidelines
Maintain product data integrity and SmartEtailing data governance standards
Communicate progress with teammates in daily standup meetings
Work with client-facing teams to resolve product listing discrepancies
Proactively communicate blockers/barriers to the Catalog Team manager
Assist in the maintenance of team documentation in our department wiki




This is not a comprehensive list of possible responsibilities, tasks and duties. There are a variety of other duties that will need to be completed on an as needed basis.




QUALIFICATIONS

Bike or snow sports industry experience preferred
1+ year of data management or ecommerce experience preferred
Ability to work independently with a high level of detail and care
Experience with a PIM preferred, experience with Akeneo a plus
Proficient in Microsoft Excel / Google Sheets, including writing and editing basic formulas.
Quickly move from one task to another
Effectively collaborate to resolve complex issues
Exceptional attention to detail
Understands, interprets and implements feedback effectively
Self-motivated with a positive attitude for work
Passion for and knowledge of cycling or snow sports is a plus
Show less "
42,Education and Training,Primary and Secondary Education,Entry level,"General Responsibilities

Perform responsible human support and paraprofessional work assisting classroom teachers or other professionals to achieve instructional objectives; assisting students with disabilities with achieving established goals and with personal care and mobility.

Essential Tasks

Assist classroom teacher in performing specific duties as assigned or undertaking specialized tasks to achieve and enhance instructional and behavioral objectives.
Work with individuals, small groups, or large groups as assigned teacher.
Assist with behavior modification as assigned by teacher.
Lift, move, and operate adaptive equipment.
Assist students with personal care tasks, including but not limited to, lavatory, clothing, hygiene, diapering, toileting, and wash-up routines.
Escort students as assigned by teacher or administrator.
Assist students with mobility needs such as, lifting and positioning students, lifting in and out of wheelchairs; loading and unloading on the bus; transporting students in and around the school and on field trips.
Monitor students during assigned periods within a variety of school environments for the purpose of maintaining a safe and positive learning environment.
Provide programmed practice activities and repetitions as developed by teacher, therapist or pathologist.
Report student concerns directly and expeditiously to teacher and assist with student resolution.
Assist with breakfast, lunch, snack, including clean-up.
Maintain various records and files.
Perform related work as required.
KNOWLEDGE, SKILLS AND ABILITIES

General knowledge of the practices, methods and techniques used in the teaching of special education population; ability to maintain files and information; skill in the use of classroom and instructional equipment; ability to operate audio visual, standard office, word and data processing equipment; ability to operate adaptive equipment; ability to establish and maintain effective working relationships with teachers, parents, students, and administrators.

Education And Experience

Required: High School Diploma or GED.

Title I Assistants Only: Must have a minimum of 48 college credits or provide documentation of passing the Paraprofessional Assessment test, or have an Associate's Degree on higher. Some experience working with students with disabilities.

Physical Requirements

Must have the use of sensory skills in order to effectively communicate and interact with other employees and the public using the telephone and personal contact as normally defined by the ability to see, read, talk, hear, handle or feel objects and controls. Frequent sitting, walking, bending, stooping, crouching, kneeling, grasping, fingering, repetitive motion, and reaching. Occasional standing crawling, and physical management that includes supporting individuals with impaired weight bearing or unsteady gaits, repositioning individuals in therapeutic equipment: including use of hydraulic lifts to a maximum of 100 pounds with assistance. Ability to lift over 50 pounds occasionally. Requires timely and regular adherence to established work schedules. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential tasks.

Special Requirements

Possession of a valid driver's license. Regular and reliable attendance is an essential function of this position.

How To Apply

Please see ""Job Posting Link"" below for a complete job description.

External Applicants: If you are interested in applying for this position, you must create an account. Please select ""Login and Apply"" from the bottom of this posting. After creating an account, please login, complete the online application, and apply for this job.

Eligible Internal Applicants: Follow these instructions to complete a transfer application. After creating an account, please complete the application and apply for this job.

Full Time or Part Time? Full Time

Job Posting Link https://vbschoolscom.finalsite.com/fs/resource-manager/view/a5f3f006-0606-4d3a-bf57-56d95df3d2e9

Salary Range: From/To

Entry hourly rate: $17.29

Compensation will be based on job-related creditable years of full-time, verified work experience. The entry-level rate will be awarded at the time of hire. Upon the return of employment verification forms from the candidate's current and previous employers, the rate will be adjusted if creditable full-time experience is confirmed.

VBCPS offers a full range of benefits including health insurance, paid life insurance, paid sick/annual leave, tuition reimbursement, professional development and membership in the Virginia Retirement System.

Unified Experience Based Step Pay Scale : U10

Start Date 2022-2023 School Yr

Entry hourly rate: $17.29

Compensation will be based on job-related creditable years of full-time, verified work experience. The entry-level rate will be awarded at the time of hire. Upon the return of employment verification forms from the candidate's current and previous employers, the rate will be adjusted if creditable full-time experience is confirmed.

VBCPS offers a full range of benefits including health insurance, paid life insurance, paid sick/annual leave, tuition reimbursement, professional development and membership in the Virginia Retirement System.

Unified Experience Based Step Pay Scale : U10
Show less "
43,Education and Training,Higher Education,Mid-Senior level,"The Associate Director of Admissions (ADOA) is responsible for the overall successful operation of the Admissions Office in their respective campus. The ADOA will assist with the implementation of innovative and sophisticated plans in support of the admissions office strategic direction. He/she will coordinate with Department Managers to implement recruitment, enrollment, admissions and orientation programs in order to meet performance expectations. The ADOA is also responsible at least with fifty percent (50%) of his/her daily schedule to enroll students to contribute to the business goals and objective with his/her personal contribution.

The ADOA will oversee recruitment and admission outreach activities such as recruitment events and job fairs, the advancement of relationships with prospective students leading to enrollment and the development and nurturing of networking opportunities in the surrounding communities where the campus is located.

He/she will need to be an achievement-oriented, idea-generating enrollment professional that can mentor and inspire a talented staff in meeting performance goals, along with his/her individual goals as a writing ADOA.

Minimum Requirements

Bachelor’s degree
At least (3) years of experience in a post-secondary admissions role and supervisory role

Essential Duties And Responsibilities

The ADOA will have knowledge of enrollment forecast models working in collaboration with the team to guide group to overcome objections
The ADOA will conduct second interviews with prospects to ensure show rate
The ADOA will actively coordinate and participate with stitching initiatives
The ADOA will listen to calls to provide coaching to Admissions Representative to help them achieve their individual goals
The ADOA will provide dash board to the Admissions Representative to use metric and trend

Employer with Equal Employment Opportunity for Women, Minorities, Veterans, and Persons with Disabilities.
Show less "
44,Education and Training,Hospitals and Health Care,Associate,"This is a unique opportunity!

We are seeking to hire an experienced Admissions Director to join our team.

We at Asbury Care Center At Solon are leaders within the long-term care industry.

Our mission is to create and maintain a pleasant work environment, ensuring high levels of organizational effectiveness, communication and safety and promoting collaboration, and continue to grow our reputation for being the preferred source for skilled nursing/long term care within the communities we serve

Admissions Director Expectations:

Evaluates and makes recommendations to adjust admission practices.
Identifies opportunities with new referral partners/sources and develops sales strategies
Consults with Director of Nursing, Administrator or other department heads as indicated
Performs daily, weekly, and monthly census analysis reports
Promotes safe work practices, safety rules, and accident prevention procedures


What we have to offer:

Full Benefits
PTO
Sign on bonus
On-going training and support


And much more!

Requirements:

Proficient with Microsoft Office Suite.
Must have, as a minimum, three (3) years of experience with demonstrated success in census development and occupancy management in a nursing home
Knowledgeable of nursing and medical practices and procedures, as well as laws, regulations and guidelines pertaining to long-term care
College education in business/or related field preferred. Must minimally be a high school graduate


We provide equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.
Show less "
45,Quality Assurance,"Technology, Information and Internet",Not Applicable,"This role is responsible for administrating the company’s document control system in compliance to ISO 9001, 13485 and other applicable standards and regulation. Under limited supervision, the Document Control Specialist will create, review, revise, approve, process, file, maintain, and retrieve documents and records necessary for the Quality Management System and other company processes. The person in this role must communicate effectively with all employees within the organization, as well as outside parties such as auditors.

Document and Record Control

Document Control Coordinator within electronic Quality Management System (eQMS) software
Power user within eQMS software, supporting use throughout organization
Draft documents as requested, given input on content
Review all Document Change Requests (DCRs) for accurate and complete use of software and consistency with company standards.
Confer with other team members regarding discrepancies or errors in documentation and edit and revise documents to reflect changes or adjustments.


Maintenance of Logs and Master Lists

Maintain all CAPA, NCMR, complaint, audit, equipment / calibration, etc. related documentation in accordance with company policies and procedures.
Make additions and edits to these files as appropriate or at the direction of management.
Ensure entries are accurate and complete and consistent with company standards.


Maintenance of Training Records

Maintenance of Equipment Logs

NCMR / CAPA

Issue Non-Conforming Material Reports (NCMRs) for out of specification parts, sub-assemblies, and assemblies.
Track progress of NCMRs with a target of disposition of materials and closing the report within one week or less.
Issue Corrective Action / Preventive Action (CAPA) for systemic issues, complaints, etc.
Track progress of CAPAs and ensure completion according to target implementation date and without undue delay.


Miscellaneous

Supply data for Management Review meetings and other KPI assessment as requested.
Other tasks as assigned.


Requirements

Minimum HS diploma or GED required; 2- or 4-year degree preferred.
Prior relevant experience in Document Control; IVD or medical device industry preferred.
Manufacturing or Engineering experience is beneficial, but not required.
Proficient and experienced in MS Word and Excel
Experience with Grand Avenue Software is beneficial, but not required.
Excellent communication skills
Ability to build positive relationships within all levels of the organization.
Ability to effectively negotiate and set priorities.
Highly organized and able to balance multiple demands and priorities.


Benefits

Benefits include medical, dental, vision, 401k, and much more!

Working Conditions:

Work will be performed in an office, laboratory, and process assembly/manufacturing environment. Able to use standard office equipment (computer, phone), know and understand laboratory safety protocols, and operate in an around process assembly equipment. Able to walk, stand, bend, twist, lift and carry up to 25 pounds.

Starting Salary:

$50,025 – 71,000 Non-exempt

LightDeck Diagnostics is an Equal Opportunity Employer committed to a culturally diverse workforce and is an Affirmative Action Workplace. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. LightDeck is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance due to a disability, you may contact us at jobs@lightdeckdx.com.Applicants must have authorization to work in the United States and must apply through our Careers’ Site (unless the candidate requires assistance due to a disability as indicated above). No phone calls, please.

Mandatory Posters: https://mandatoryview.com/?LicenceId=78108005-eeca-4710-9daf-034a2d38e48f&ProductType=OnlineApplicant&SubType=PG
Show less "
46,Administrative,Construction,Entry level,"Job Details




Description




Job Summary




Responsible for field documentation flow, accuracy, and accountability to Houston. Supports project employees with company related needs working with human resources, accounting, and payroll. Deals with vendors, sub-contractors and maintains all ground permits. Provides general administrative assistance for the Project.




Major Responsibilities/Activities




General
Directs daily work activities of project field office staff, maintains supplies, and correspondences.
Key client point of contact at project field office
Administer the cash flow from petty cash, verifying that purchases are acceptable, and approved by the Superintendent. Maintain the accountability of the expense log.
Dealing with the public. Calling Houston HR for backup, or calling the law, depending on the situation
Key point of contact for Foremen regarding administrative needs, issues, concerns
Yard
Setting up the warehouse yard
Dealing with the permitting of local, county, and state
Utility/power supply needs
Payroll
Ensuring proper hiring procedure is being administered
Ensure there are no un-authorized hires
Ensure work time is turned in each and everyday
Liaison between payroll department and craft employees regarding pay questions and concerns
Procurement
P-Card – making sure material(s) are received, receipts processed and coded on the P-Card site.
Oversee the vendor invoicing that it has been processed, entered, and received in JDE software.
Work with Houston on the Docusphere system, when there is an error in an invoice being paid.
Invoicing
Work with Engineers that the sub-contractor invoicing is accurate and are not held up for payment in Docusphere and if so, why.




Job Dimensions




Company Assets- Work with Houston, Superintendents, Project Engineers and Equipment Trackers daily to ensure all company assets are accounted for and needed on the project.
Revenue- Help track and allocate the cost to reflect an accurate revenue report.
Capital Expenditures
Budget Responsibility- Work with Superintendents, and Project Engineers to forecast accurate project costs.
Financial Responsibility- Work with the Project Controls department, Project Manager, Superintendents, and Project Engineer to provide an accurate cost to date, forecast, and budget through out the project.




Basic Qualifications




High School Diploma/equivalent
1-3 years of experience in job related duties
Ability to handle stressful/ fast paced work environment
Ability to lift 50lbs




Disclaimer




The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required of employees so classified. All employees may be required to perform duties outside of their normal responsibilities from time to time, as needed.




EEO Statement




We are an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.




Third Party Agency Notice




Primoris will not accept any unsolicited resumes from any third-party recruiting agencies either domestic or international. Primoris nor its subsidiaries will be responsible for any fees from the use of any unsolicited resumes either through our ATS or via electronic mail systems from any agency representative or agency consultant unless your firm is an approved vendor partner with a current executed agreement.




Qualifications




Skills




Behaviors




:




Motivations




:




Education




Experience




Licenses & Certifications
Show less "
