,Job Function,Industry,Seniority,Job Description
25,"Design, Art/Creative, and Information Technology",Internet Publishing,Director,"Who we are:




bread & Butter is a full-service digital marketing, public relations, social media and creative agency with a fondness for all things food, drink and travel. We are a collaborative group of dreamers and do-ers. And we are the people in your neighborhood. We combine intimate local knowledge with an extensive national network to craft clever and multidisciplinary communications campaigns tailored to your unique needs. We only partner with inventive businesses that continually challenge us to think big, but act small.




Why bread & Butter:




We are Southerners at heart, always saying, “Please” and “Thank You,” and hustlers by trade. We believe everyone deserves a seat at the table and practice what we preach to ensure the spirit of hospitality runs through everything we do. We're not a company that wastes time—not yours, not ours. We are not too busy to talk, come by or think of new ways to increase long-term brand awareness. For us, there is little difference between work and pleasure because our work is our pleasure.




We’re Looking at You!




An Art Director with bread & Butter is a design geek, color whiz, and is energized by helping our growing Creative team. You love showing others your shortcuts and secrets, are obsessed by what’s happening in design and are always thinking of new ways to skin a cat. You are one step ahead and understand the importance of overcommunication and understatement. You are a go-getter, self-starter and figurer-outer, but also thrive on collaborating and brainstorming with a team. You’re an avid learner and like to say, “yes!” (you’ll figure it out!) An Art Director for bread & Butter should be creative, inimitable, eager and always interested in improving your art skills for yourself and for your squad.




Available Opportunity:




The Art Director is responsible for the overall creative and brand strategy for the company in terms of client management and goals. The Art Director oversees brand aesthetics, continually helps elevate content quality and is ultimately responsible to ensure work is being completed to the standards of clients and b&B. The Art Director works to ensure cohesive and effective visual, graphic and digital design projects that accurately convey the client brand and voice in a professional and appropriate manner. The Art Director oversees the work of the creative team and reports to the CEO.




Here's What We Need:




8+ years as a professional graphic and website designer with expert-level aptitude with design software.
Must have crazy strong computer skills especially expert knowledge and experience with Adobe Creative Cloud
Experience in Web Design UI/UX
Experience with Adobe XD
Experience designing responsive Web Ads
Experience working with a team, answering a million questions and practicing what you preach.
Originality with strong visual sense & creative flair.
No stage fright! You have killer presentation skills and the confidence to explain and sell ideas to clients and colleagues.
“Efficiency” is your middle name as you seamlessly juggle multiple projects at one time.
The ability to grasp client needs and consider practical solutions.
Accuracy and attention to detail when finalizing designs. You miss nothing.
An awareness of recent design trends while having solid knowledge of typography.
Think big, act small! Must be open to constant constructive feedback (we’re in the service industry!) and willing to tailor your designs.
Excitement for growth, new ideas, new ways of doing things and a place you’re excited to call home. Say yes!




Benefits Of Having Our Cake & Eating It Too




We offer unlimited vacation, up to 12 weeks of paid maternity leave, Family Planning and personal leave, work from home, Endless Summer Fridays and time off for important events like birthdays and parent-teacher conferences.
We offer 401k, new business bonuses and a generous employee referral program.
We love celebrating, whether it’s Wine Wednesday or just Tuesday. We always enjoy an excuse to raise a glass.
Learning something new is our jam. We try to say, “Yes!” and we’ll figure it out. We offer extensive training, opportunities to expand your skillset and the ability to work in any office across the country.
We want you to be healthy – mentally, spiritually and physically. We offer generous medical, dental, and vision insurance, as well as the flexibility that comes with being a “little big” company.




Powered by JazzHR




8oBJpbLbyY
Show less "
26,Human Resources,Hospitals and Health Care,Director,"CommuniCare Health Services is recruiting for a Director of Training and Leadership Development to join our corporate team!

This position will ideally be located at our corporate offices in the Blue Ash section of Cincinnati, OH, but we will consider someone who can work out of one of our other regional offices located in Ohio, Indianapolis, Maryland, or West Virginia.

PURPOSE/BELIEF STATEMENT

The Director of Training and Leadership Development is responsible for improving the orientation and engagement impact of the organization’s team members. This position assesses company-wide developmental needs to drive training initiatives and identifies and arranges suitable training solutions for team members. This position actively searches, creatively designs, and implements effective methods to educate and enhance orientation and performance.

Benefits

As a CommuniCare employee you will enjoy competitive pay and PTO plans. We offer full time employees a menu of benefit options from life and disability plans to medical, dental, and vision coverage from quality benefit carriers. We also offer 401(k) with employer match and Flexible Spending Accounts.

Education/Experience

JOB REQUIREMENTS

Bachelor's degree in relevant field.
Five years of experience designing and implementing employee development programs.
Certified Professional in Learning and Performance (CPLP) credential preferred.
SHRM Certified Professional (SHRM-CP) or SHRM Senior Certified Professional (SHRM-SCP) credential preferred.
Proven experience in adult education techniques.

Knowledge/Skills/Abilities

Excellent verbal and written communication skills.
Strong presentation skills.
Adept with a variety of multimedia training platforms and methods.
Ability to evaluate and research training options and alternatives.
Ability to design and implement effective training and development.

Job Duties/Responsibilities

Develops and directors live feed company-wide orientation.
Conducts annual training and development needs assessment.
Develops leadership training and development programs and objectives.
Obtains and /or develops effective training materials utilizing a variety of media.
Trains and coaches managers, supervisors, and others involved in employee development efforts.
Plans, organizes, facilitates, and orders supplies for employee development and training events.
Develops and maintains organizational communications such as intranet bulletin boards and newsletters to ensure employees have knowledge of training and development events and resources.
Conducts follow-up studies of all completed training to evaluate and measure results.
Modifies programs as needed.
Exemplifies the desired engagement culture and philosophies of the organization.
Works effectively as a team member with other members of leadership and the HR team.

About Us

A family-owned company, we have grown to become one of the nation’s largest providers of post-acute care, which includes skilled nursing rehabilitation centers, long-term care centers, assisted living communities, independent rehabilitation centers, and long-term acute care hospitals (LTACH). Since 1984, we have provided superior, comprehensive management services for the development and management of adult living communities. We have a single job description at CommuniCare, ""to reach out with our hearts and touch the hearts of others."" Through this effort we create ""Caring Communities"" where staff, residents, clients and family members care for and about one another.
Show less "
27,"Manufacturing, Engineering, and Administrative","Appliances, Electrical, and Electronics Manufacturing, Transportation, Logistics, Supply Chain and Storage, and Industrial Machinery Manufacturing",Director,"Do you have international work experience? Are you from another country and are looking to succeed in the states? A growing industry leader is looking for leaders to have an impact on a global expansion. This is an opportunity to pave your own way and define your future in a newly created position that will reward your language experience while testing your leadership skills. Quit worrying about career stability and receive the recognition you deserve while leading a highly functioning team that will reward you for your contributions.




If you have the following, we want to hear from you:

The ability to work both internationally and in the US.
P&L experience
Foreign language skills
Proven track record of leadership experience
The ability to travel internationally for work
Dual citizenship is a strong plus.




Some benefits to you:

Industry leading compensation: ranging from $200,000 to $500,000 commensurate with seniority, work history, and skillset.
Comprehensive benefits: industry leading medical, dental, vision, and life insurance plus extensive perks.
Extensive growth potential. This is an international expansion where you will be able to put your stamp of ownership on a growing operation.




Preferred qualification:

15+ years of leadership experience
5+ years of managing P&L
A background in operations, logistics, supply chain, or manufacturing




Job Summary:

A U.S. based, industry leader is expanding its manufacturing operations in multiple regions, internationally. This is an opportunity to be responsible for the operational success of this expansion in manufacturing and logistics. This is an opportunity to put your stamp of ownership on a growing operation. If you have strong language skills, have at least a US Green Card, and retain international citizenship or work permits, this is an opportunity to explore.




All qualified applicants will receive consideration for employment without regard to the individual's race, color, sex, national origin, religion, age, disability, and genetic information, status as a military veteran or any other characteristic protected by applicable law.

Show less "
28,Accounting/Auditing and Finance,Chemical Manufacturing,Director,"Our Company Revchem Composites has been in business since 1975, we are privately held company, driven by our core values Revchem has helped customers improve their processes as well as grow their businesses. We do what it takes to help keep businesses profitable and relevant in today's ever changing environment. Revchem Composites offers an extensive selection of materials, supplies and equipment to the composites industry. Our large inventory, technical expertise, on-site support, personalized customer service and fast, flexible delivery makes us a valuable partner to the composites industry. Our customers are in the Surfing, Motorsports, Aerospace, Automotive, Movie industries, and more. Our Benefits Package




Medical, Dental, and Vision Insurance
Life Insurance
401(k) Plan
Paid Holidays
Vacation Time
Flexible schedules
Competitive Pay
Sick Pay
Referral Bonus Program
And a lot more! Our Culture At Revchem Composites we are driven by our CORE Values: Customer Focused, Ownership & Reliability. Working together as a team is at the center of our CORE Values. These values guide us in everything we do and push us further in our growth both as a company and as individuals, cultivating an environment where employees are inspired and empowered as we build and thrive together. SUMMARY The ideal candidate will be well-versed in accounting principles and able to work comfortably with numbers and attention to detail. Position requires accuracy, efficiency, sound judgment, solid knowledge of accounting procedures, effective verbal and written collections skills and strong clerical and computer skills. This position requires cooperative and effective interaction with customers/vendors and staff from other departments, including Customer Service, Sales and Shipping. RESPONSIBILITES Manages the overall direction, coordination, and evaluation of the Accounting/Finance, Operations, & Credit/Collection Departments. Carries out supervisory responsibilities in accordance with the company policies and applicable laws. Responsibilities include the followings:
Safeguard assets and assure accurate and timely recording of all transactions by implementing disciplines of internal audits, controls and checks across all departments
Manage the accuracy and productivity of day-to-day activities of accounts payable, cash disbursements, invoicing/billing, customer credits and collections, payroll, perpetual inventory integrity, fixed asset records, general & entity accounting, cost accounting.
Develop and maintain the Company's accounting policies, procedures and related documentation to include strong internal controls and ensure compliance with relevant accounting standards.
Develop, improve and issue timely monthly financial records for the CFO.
Assure financial plans are consistent with organizational goals
Provide financial analysis tools to evaluate company ventures or special projects, programs, capital expenditures, products costing, etc. when necessary
Assure that assets are not awkwardly encumbered with personal guarantees or unrealistic commitments
Work closely with Senior Management in the development and economic evaluation of various fringe benefit programs for employees and related sister companies.
Interface with outside CPAs, banks and lessors, casualty/liability insurance agent(s), credit card companies, and collection agencies
Provide a visionary and leadership implementation role on behalf of Finance/Accounting to all departments, creating a well-respected and sought after department goal
Report to the CFO when necessary in writing and verbally
Maintaining regulatory compliance with Federal, State and local authorities such as income taxes, payroll taxes, sales taxes, property taxes, fuel taxes and local tax requirements.
Perform monthly analysis of Actual vs Forecast / Budget for Profit & Loss, Inventory, Free Cash Flow
Research and explain variances.
Leading month-end closing: prepare Journal Entries, validate reconciliation.
Lead, in conjunction with Department Managers in budget preparation, forecast (short term / long term)
Reviews reports to analyze projections of sales and profit against actual figures, budgeted expense and make recommendation for financial performance improvement
Make recommendation to improve the planning process as appropriate.
Estimates requirements for capital expenses.
Supports special projects as requested and perform ad hoc product/plant cost analysis to support the operations.
Customarily and regularly exercises discretion and independent judgment.
Other duties as necessary Ability to read, analyze, and interpret general business periodicals, professional journals, technical procedures, or governmental regulations; ability to respond effectively to the most sensitive inquiries and complaints. Effective and persuasive presentation skills on controversial or complex topics to top management. SUPERVISORY RESPONSIBILITIES: This jo
Show less "
29,Education and Training,Primary and Secondary Education,Director,"Scheck Hillel Community School is a nationally recognized college preparatory and Jewish community school located in North Miami Beach, Florida. Founded in 1971, our well-rounded, rigorous, dual curriculum program serves over 1200 students in PKT through 12th grade. The individualized college preparatory curriculum includes STEM and design, Capstone, College Dual-Enrollment, Arts, Athletics, and service learning. Our 14-acre campus includes a 115,000 sq. ft. athletic complex with additional academic expansion plans. As a Blue Ribbon School of Excellence, we attract and retain a diverse faculty and staff who demonstrate professional excellence with an unwavering commitment to delivering an education of unsurpassed quality. As a community school, we understand that our school isn't just about education, it's about the whole child. The School is currently seeking a qualified Director of College Counseling to begin summer 2023. Reporting to the High School Director, the Director of College Counseling has the overall responsibility for guiding the members of each year's graduating class through the transition to post-secondary education/careers. They set a vision for programming that meets the post-secondary needs and interests of students enrolled in a community school, meet individually with students and families to advise them on all parts of the college-career transition, and collaborate with administrators and staff to ensure that strong systems are in place to support postsecondary pathways. Primary Responsibilities: * Oversee the College Counseling Team * Develop an efficient, positive, and effective team culture by building the team's competencies * Lead the team in the assignment of students to college counselors * Lead the team in coordinating programs with high school counselors * Maintenance and management of Cialfo, College Kickstart, and other associated databases * Review, adjust, and improve the college counseling program each year to meet the changing needs of students in the college admissions process * Help recruit, hire, and onboard new college counselors as needed * Leads Student Supports * Presenting the college counseling process to parents and students individually and in small groups * Teach college readiness classes second semester to students in 11th grade * Write and prepare counselor recommendations for students * Manage the teacher's letter of recommendation process for students * Assist high school counselors in meetings with students on course selection * Develop and oversee communications plans and parent education opportunities for parents and students. * Managing application submission progress for all students * Coordinating experiences such as essay writing workshops, the senior application retreat, and college visits * Foster relationships with external organizations * Visits to college campuses to establish and maintain mutually beneficial relationships with college admission staff. The director participates in three or four such tours each year generally during the summer. * Attend national and regional conferences, such as NACAC and SACAC * Manage college visits on campus * Represent Scheck Hillel Community School in the Association for Independent Miami Schools (AIMS) and participate (and help plan when necessary) in the yearly AIMS Miami Invitational College Fair * Foster relationships with the faculty and administration: * Work effectively with the Office of Admissions and the Office of Communications to accurately and regularly market the school and share college-related news * Prepare board reports for the Head of School * Participates in curriculum committee meetings, when needed, to advise and explain how college * Provide professional development for faculty and administration as needed in regard to College Counseling and college admissions * Review all teacher letters of recommendation and advise new faculty in the writing of college recommendations Strong candidates for the Director of College Counseling will have at least a bachelors degree along with significant knowledge of and expertise in preparing high school students for college and post-secondary pathways, while demonstrating: deep care for students, and families on their caseload, an ability to be a self-starter and take initiative, a love for collaboration and teamwork, strong work ethic, excellent organizational skills, flexibility, and ease and experience in managing data systems relevant for postsecondary counseling. Scheck Hillel offers a comprehensive compensation package that includes competitive salary, benefits, professional development, opportunity for growth and more. For further consideration, email resumes or visit our website at www.ehillel.org for more information about Scheck Hillel. We are an equal opportunity employer. Company Description COMPANY BACKGROUND: Scheck Hillel Community School educates and inspires students 18 months-Grade 12 to become exemplary global citizens with endurin




COMPANY BACKGROUND: Scheck Hillel Community School educates and inspires students 18 months-Grade 12 to become exemplary global citizens with enduring Jewish identity and values through an individualized college preparatory curriculum highlighted by Design/STEM, Capstone, college dual enrollment, arts, athletics and community service. Its 14-acres include a 115,000-sq.-ft athletic complex with academic expansion plans. Set within a nurturing, diverse community, Scheck Hillel is one of the world's largest Jewish community day schools and a National Blue Ribbon School of Excellence. We offer a comprehensive compensation package that includes competitive salary, comprehensive benefits package, generous holiday schedule, onsite fitness center, free lunch, opportunity for growth, great location, and more.
Show less "
30,Business Development and Sales,Real Estate Agents and Brokers,Director,"This is a high commission-based recruiting position. It is possible to make 6 figures monthly or 7 figures yearly with this model. This is not a salary position.

We are looking for a Director of Recruiting Operations for our team, we are a high-production sales team and are in multiple states. Looking for the right partner to help us grow.

Licensed agent leads are provided, along with tools for agent recruiting.
Show less "
31,Education and Training,Primary and Secondary Education,Director,"VACANCY BULLETIN

The Pine Hill Board of Education announces the following vacancy:

Middle School Assistant Principal

12 Month Position

Starting July 1, 2023

Additional Job Information Can Be Found By

clicking here

Applicants must possess NJ Principal Certification.
Show less "
32,Management and Manufacturing,Renewable Energy Semiconductor Manufacturing,Director,"The Director of Operations will lead all operational departments (plant operations, transportation, dispatch, maintenance, etc.) at multiple recycling facilities in Anaheim, San Diego, and the Napa Valley region. This position, based in Anaheim, will be a significant part of the company's leadership team and will develop / enhance productivity and safety programs throughout the organization. The individual will implement efficient workflows to maximize the company's capacity, productivity, and operational performance. The Director of Operations must develop long-term operational strategies while working closely with senior management to meet company objectives. Relevant Experience - Has demonstrated success in leading multi-site and multi-department organizations within an industrial or distribution operation. Established and enhanced operating metrics with experience in developing standard operating procedures and training programs while developing frontline staff with improved safety protocols. Preferred industry experience would include waste management services, route-based logistics or distribution. Leadership Range - Proven ability to effectively engage and communicate with executives, departmental leaders and others. As the leader of various functional departments, this individual will have the skill to communicate clear directions and processes for standard operating procedures (verbally and written) while also having the ability to interact with supervisor, managers, ""C"" level executives as well as vendors and clients. Leadership Style - Hands-on and ability to spend time with frontline staff to ensure standard operating procedures are understood, followed, and improved. Ability and willingness to engage with supervisors and staff to ensure there is a cultural focus on continual process improvement and gives an understanding of how enhanced Key Performance Indicators impact the respective departments, company, and clients. Experience initiating new Processes and Metrics - A leader who can evaluate current process and standard operating procedures and create innovations through schedules, training, equipment, protocols, and employee development. Ability to evaluate staff to identify gaps in knowledge or training to ensure resources are fully utilized. Drives Operational Results - This individual has a strong bottom-line orientation and persists in accomplishing objectives through a team approach despite obstacles and setbacks. Has a track record of exceeding goals and drives self and others to achieve results. Relevant Skills - The Director of Operations must have basic computer skills which includes email, etc. Familiarity with electronic timekeeping, ERP's, GPS, inventory management systems, etc. The individual should also have experience with budgeting, staffing, training, and documentation of processes. Other Experience / Skills - A bilingual (Spanish) candidate is highly preferred. Private equity and M&A experience is also a plus. Location - The position will be based in Anaheim CA with required travel within Southern California (San Diego County) and the Napa Valley area. Company Description Certified is a leading provider of recycling and waste solutions services. We provide a broad range of waste diversion programs that help customers: Reduce costs and annual waste spend. Grow income streams for recyclable materials. Reduce waste going to landfill and lower costs. Achieve sustainability goals. Certified has full-service recycling and processing facilities located in Anaheim, San Diego and the Napa Valley CA area.




Certified is a leading provider of recycling and waste solutions services. We provide a broad range of waste diversion programs that help customers: Reduce costs and annual waste spend. Grow income streams for recyclable materials. Reduce waste going to landfill and lower costs. Achieve sustainability goals. Certified has full-service recycling and processing facilities located in Anaheim, San Diego and the Napa Valley CA area.
Show less "
33,Management and Manufacturing,Hospitality,Director,"Job Details

Description

Maderas Golf Club is excited to announce the exceptional career opportunity of a Food and Beverage Director. Qualified candidates will thrive in a hospitality environment and be highly focused on providing superior service to the the Members and Guests.

Key Responsibilities Of The Food And Beverage Director

Assists with interviewing, hiring, training, planning, assigning, and directing work, evaluating performance, rewarding, and disciplining associates; addressing complaints and resolving problems.
Assists in the management of department members that may include, but is not limited to: Servers, Reservationist, Runners, Bartenders, Hosts, Banquet, Building Maintenance.
Assist with budget preparation in all Food and Beverage related areas.
Reviews current day’s business levels in all operations and assigns priorities as needed.
Relays pertinent information to key staff including, Executive Chef, Beverage Manager, Dining Manager, Executive Offices, Concierge, and Membership Office as needed. Assists General Manager in monitoring success of Food and Beverage related departments and associates, including semi-annual performance reviews, as needed.
Conducts regular staff meetings with colleagues, subordinates and related parties.
Assures that effective orientation and training are given to each new associate. Assists in developing ongoing training programs.
Prepares and monitors quarterly revenue goals and expenses as well as generating various (weekly, monthly, quarterly, and annual) business volume reports and forecasts.
Responsible for pre-approving, receiving and ultimate inventory control for all Food and Beverage related areas.

Minimum Qualifications For The Food And Beverage Director

Bachelor’s degree (BA) from four-year college or university; or four to six years related experience and/or training; or equivalent combination of education and experience.

Other Qualifications

Knowledge hospitality POS system application, hardware, software and menu programing.
Experience in Multi-faceted Food and Beverage operations.

Compensation

Salary is $90K annual.
Show less "
34,"Manufacturing, Engineering, and Business Development","Appliances, Electrical, and Electronics Manufacturing, Transportation, Logistics, Supply Chain and Storage, and Wholesale Import and Export",Director,"Do you have international work experience? Are you from another country and are looking to succeed in the states? A growing industry leader is looking for leaders to have an impact on a global expansion. This is an opportunity to pave your own way and define your future in a newly created position that will reward your language experience while testing your leadership skills. Quit worrying about career stability and receive the recognition you deserve while leading a highly functioning team that will reward you for your contributions.




If you have the following, we want to hear from you:

The ability to work both internationally and in the US.
P&L experience
Foreign language skills
Proven track record of leadership experience
The ability to travel internationally for work
Dual citizenship is a strong plus.




Some benefits to you:

Industry leading compensation: ranging from $200,000 to $500,000 commensurate with seniority, work history, and skillset.
Comprehensive benefits: industry leading medical, dental, vision, and life insurance plus extensive perks.
Extensive growth potential. This is an international expansion where you will be able to put your stamp of ownership on a growing operation.




Preferred qualification:

15+ years of leadership experience
5+ years of managing P&L
A background in operations, logistics, supply chain, or manufacturing




Job Summary:

A U.S. based, industry leader is expanding its manufacturing operations in multiple regions, internationally. This is an opportunity to be responsible for the operational success of this expansion in manufacturing and logistics. This is an opportunity to put your stamp of ownership on a growing operation. If you have strong language skills, have at least a US Green Card, and retain international citizenship or work permits, this is an opportunity to explore.




All qualified applicants will receive consideration for employment without regard to the individual's race, color, sex, national origin, religion, age, disability, and genetic information, status as a military veteran or any other characteristic protected by applicable law.

Show less "
35,Education,Professional Training and Coaching,Director,"This position leads the operational, technical, and manufacturing training for field team members. The incumbent will direct the training structure and processes for the company and will determine the training structure and delivery/implementation systems used by the training team. This is a highly visible position that works across all of LKQ to help meet company goals and objectives.




Essential Job Duties




Develop a strategic yearly plan to help attain corporate and operations objectives in conjunction with DMs and DSMs.
Create and lead the implementation of training guides, processes, and online learning programs and systems, and will report use and key performance indicators.
Determine operational procedures and systems that support location performance gaps.
Work with General Managers to determine the accurate profit analysis of field locations, reporting, and performance analysis.
Conduct quarterly reviews with DMs and DSMs to communicate the location's performance and training needs.
Lead the implementation of field performance gap and training needs analysis.
Coach team to conduct location ERP process evaluations, work with project teams and apply project management principles.
Coach training team in job skills, standards, and change management.
Develop a support plan for new initiatives such as ITMM, Roadnet, and any new processes.
Initiate and support the continual improvement of LKQ field operations through training.
Assume other duties as assigned.




Supervisory Responsibilities




Manage the work of others, including planning, assigning, scheduling, and reviewing work, ensuring quality standards.
Responsible for hiring, terminating, training and developing, reviewing performance, and administering corrective action for staff.




Education & Experience




Bachelor’s degree in computer science, organizational development, business, or a related field.
7+ years of experience in a management position with direct reports, with experience in training, training design, and applying adult learning principles.
Experience designing training material for operational procedures, users, and operations reporting.
Green Belt/Black Belt trained and/or working on obtaining certification within 12 months of hire.




Preferred Qualifications




Certification in training, software, and adult learning.
Knowledge of aftermarket automotive, salvage, or recycled industry.




Knowledge/Skills/Abilities




Ability to build consensus across business units to support initiatives.
Strong knowledge of Prelude, Project X, Roadnet, ITMM, or other sales/inventory/distribution systems.
Excellent analytical and problem-solving skills and application of training metrics.
Intermediate skill level in Microsoft Word, Excel, PowerPoint, Publisher, and Outlook.
Excellent communication skills, delivery skills, and project planning and implementation.
Expert in operations management and skill-based training.
Strong research and partnership development skills.
Understanding of online learning systems and training delivery software.
High level of learning agility.




Essential Physical Demands/Work Environment




May infrequently lift up to 25 pounds.
This position also requires sitting, standing, bending, and lifting.
Incumbent must have the ability to work in conditions of frequent interruptions.
Up to 40% travel may be required.




Benefits




Health/Dental/Vision Insurance
Paid Time Off
401k with Generous Company Match
Company Paid Life Insurance and Long-Term Disability
Short-Term Disability
Employee Assistance Program
Tuition Reimbursement
Employee Discounts




Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled
Show less "
36,Marketing,"Technology, Information and Internet",Director,"Buffalo Bayou Brewing Co. is now hiring for an experienced Event Director.

Our 3-story, 28,000 square foot brewery, restaurant, and rooftop beer garden overlooking downtown Houston in the heart of Sawyer Yards needs someone who loves planning and executing events, working with clients to create memorable experiences, and enjoys being part of a dynamic team of hospitality professionals.

That's where you come in.

Event Director

Duties & Responsibilities:

Promote Buffalo Bayou's extensive event options
Respond to all inquiries in a timely and effective manner
Negotiate contracts with event guests
Answer questions about our food, beer and other restaurant functions and services
Create menus, event timelines, and operational plans with our kitchen and restaurant teams
Coordinate all operational aspects of the event process with the teams
Ensure both front and back of the house are prepared to execute events
Follow up with all guests to confirm excellent experiences and to ensure payments are made properly
Reporting of all revenue and payments in our systems (Toast, TripleSeat) and to our accounting team
Participate in planning meetings with leadership regarding planning and promotion of the events department
Attends all scheduled employee meetings and brings suggestions for improvement


Performs other related duties as assigned by management

Requirements

Be able to communicate clearly and effectively

Proficiency with Microsoft products (email, Excel, etc.)

Must have a basic knowledge of dining room and service procedures and functions

Possess basic math skills and have the ability to handle money and operate a point-of-sale system (Toast)

Knowledge of and experience with events planning software (TripleSeat preferred)

Benefits

This is a full-time position with the same benefits that all of our employees enjoy, including paid-time off, employer-subsidized health insurance, and a 401k program with company matching.

Buffalo Bayou Brewing Company is an equal opportunity employer and does not discriminate based on race, color, creed, religion, national origin, ancestry, nationality, age, sex, sexual orientation, gender identity or expression, marital status, disability, veteran status, or any other protected status under controlling federal, state or local laws.
Show less "
37,Human Resources,Non-profit Organizations,Director,"Boys & Girls Clubs of America named ""One of the Best Nonprofits to Work for in 2017, 2018 and 2019"" Indeed.com




Boys & Girls Clubs of America is the nation's premier youth development organization. Our programs, training and services impact nearly 4 million children and teens every year. We are always looking for qualified professionals with a passion for improving young lives, as a member of our national staff. We have strong values, embrace diversity and offer great benefits to allow our employees to maintain work/life balance.




LOCATION: This position is onsite, office-based in Atlanta, GA (hybrid model - 3 days remote / 2 days in office- Tuesday & Wednesday)




Under direction of the National Director, Leadership Development, the Director of Leadership Development is responsible for contributing to the design, development, implementation, evaluation and support of Leadership Development Initiatives for Executive and Management Professionals in the Boys & Girls Clubs Movement. The goals of these Leadership Development Initiatives are to support the growth in professional leadership capacity of Club Professionals to increase the organization’s overall impact for Club Members, Staff and the Community.




Essential Functions




Develop Strategy




Design and execute comprehensive leadership development programs for local Club CEOs and Professionals across the Boys & Girls Clubs Movement aligned to the adopted Competency Framework and Movement-wide goals.
Research ongoing trends and shifts in leadership development and partner with Subject Matter Experts to make appropriate recommendations and updates to content and program designs.
Partner with other internal BGCA units to develop and deliver customized programming and support.
Support creation of, maintain relationships with, and scale a network of world-class learning partners to support execution of the development strategy.




Develop Talent




Lead the planning, marketing, recruitment, facilitation, and review of assigned Leadership Development Programs for Executive and Management professionals.
Develop and implement ongoing learning opportunities using a multi-modal approach for CEOs and Club Professionals aligned to the adopted Competency Framework.
Contribute to the development and implementation of a structured mentoring strategy for new Executives including training materials, protocols, and ongoing evaluation.
Develop partnerships with associations to support development initiatives.




Build Organizational Capacity




Build the capacity of internal BGCA staff to deliver and facilitate elements of leadership development initiatives including tools and resources
Support the planning, design, development of content, and coordination of Regional Leadership Conferences and the National Conference.
Ensure critical Movement-wide priorities and resources are embedded in appropriate leadership initiatives.




Lead Business Operations of Service




Promote and market the Leadership Development Initiative to the Boys & Girls Clubs Movement, internally and externally.
Create systems to evaluate and measure progress and impact of assigned Leadership Development Initiatives to support continuous quality improvement.
Conduct and/or participate in state, regional, and national staff meetings and conferences.




Additional Responsibilities




Lead special projects or national assignments as assigned
Demonstrate BGCA mission driven I-CARE values and integrate these beliefs into our environment and ways of work.
Promote child safety priorities and resources to local organization within the scope of this position; report any observed or suspected child safety concerns directly to the organization’s leadership and to the appropriate BGCA senior leader.
Adhere to organizational policies and procedures as described in BGCA’s Employee Handbook, Ethics Policy and elsewhere.




SUPERVISION EXERCISED




No direct Reports. May monitor and coordinate the work of temporary employees and student interns.




Education And Experience




Bachelor’s degree from an accredited college.
Minimum seven years of experience in the Organizational Development or Leadership Development field or leading a multi-tiered organization. At least five years of experience training/facilitating and curriculum development in the areas of management and executive development.
Demonstrated ability to engage, motivate and support learning of executive/management leaders and volunteer professionals.




COMPETENCIES NECESSARY FOR SUCCESS




Action Oriented




Taking on new opportunities and tough challenges with a sense of urgency, high energy, and enthusiasm.




Collaborates




Building Partnerships and working collaboratively with others, internally and externally, to meet shared objectives.




Balances Stakeholders




Anticipating and balancing the needs of multiple stakeholders.




Business Insight




Applying knowledge of business and the marketplace to advance the organization’s goals.




Communicates Effectively




Developing and delivering multi-model communication that convey a clear understanding of the unique needs of different audiences.




Customer Focus




Building strong customer relationships and delivering customer-centric solutions.




Cultivates Innovation




Creating new and better ways for the organization and learners to be successful.




Interpersonal Savvy




Relating openly and comfortably with diverse groups of people.




Plans & Aligns




Planning and Prioritizing work to meet commitments aligned with organizational goals.




Abilities




High energy level, comfortable performing multi-faceted projects in conjunction with day-to-day activities.
Superior interpersonal abilities. Ability to get along with diverse personalities, at all times displaying tact, maturity and flexibility. Good reasoning abilities and sound judgment.
Physical requirements include standing for four plus hours per day, sight, hearing and sitting for four plus hours per day. Skills essential for successful communications include active listening, speaking and writing.
Must be physically able to travel by air, car, train, or other modes of transportation.




ENVIRONMENTAL & WORKING CONDITIONS




Normal internal working environment
Travel estimated at 30-40% (can be up to 6-9 days or more in a month – including weekends - depending upon scheduling requirements).
Show less "
