,Job Function,Industry,Job Description
32,Accounting/Auditing and Finance,Motor Vehicle Manufacturing,"General Accounting Assistant

Feldmann Imports is a family owned and operated Mercedes-Benz dealership. Our ability to perform at such a high level is directly related to the efforts of our talented team of professionals and we are looking for more great people to join our team. We strive for excellence in everything we do while keeping a servant heart to leave a lasting legacy!

What We Offer

Pay Range: $20-25 per hour
Work/Life balance with a schedule that get you home earlier
Comprehensive Benefits Package (Medical, Dental and Vision)
Paid time off
401K Plan with Aggressive Employer Match Program
Closed Holidays: New Year's Day, Memorial Day, 4th of July, Labor Day, Thanksgiving Day, Christmas Eve, and Christmas Day
Short Term Disability
Employee vehicle purchase plans
Saturday Lunches
Long term job security
Health and wellness
Growth opportunities
Over 25% of our employees have been a part of our team for over 10 years!
More than 10% have been with us for more than 20 years!
Additionally, more than 25% of our staff are female!
Over 15% of our employees have been promoted!


Responsibilities

Daily bank and credit card deposit
Cash clearing reconciliation
Enter warranty payments
Pre-stocking vehicles
Warranty/GAP registration
Accounts receivable
Supply inventory and ordering
Provide administrative support to management and other departments as needed


Qualifications

Ability to handle multiple tasks
Strong analytical and numbers sense
Strong Detail and organization skills
Good social and interpersonal skills
Strong record of positive Customer Happiness results
Collaborative and eagerness to improve
Professional personal appearance


We are an equal opportunity employer and prohibit discrimination/harassment without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
Show less "
33,"Consulting, Information Technology, and Sales",Motor Vehicle Manufacturing,"Are you energetic, engaging and hard-working? Are you interested in selling? Are you competitive and self-motivated? We're seeking driven individuals to join our fast-pacedt eam, as a BDC Call Center Representative for the Service Department.

Benefits

Full-time employees are offered Medical, Vision & Dental
401K retirement and saving plans are offered to employees after working at the dealership for 6 months or more
Paid Vacation time, selected holiday pay, sick pay


Responsibilities

Adapt in computer database programs (Xtime, TIS, ADP, Spark, OnRamp, Premier, GSM, etc.)
Keep log of complete appointment confirmations, no shows, and first time customers
Track outbound appointments, open recalls, Toyota Care, any open campaigns and overdue services
Verify with all websites, that customer is up to date on any services they may have
85 calls are to be completed by the end of the day (inbound and outbound)
Call Rater must be at 90% or better
Be able to follow scripts for phone usage with customers
Verbal conversations on the phone must be understandable to customer. Must be able to go into detail to explain different situations to customers
Sitting for long periods of time
Be able to make frequent trips to service drive when needed for clarification on services for customer
Able to stay calm under pressure
Exceptional Communication Skills
Saturday's you will assist the Service Advisors by greeting and checking out customers


Qualifications

High School Diploma or GED
Ability to work independently
Call center experience is desired
Experience with customer service
Needs to be responsible and organized, and have good communication skills.
Willingness to submit to a pre-employment drug screen and background check
Valid Texas Driver's License
Punctuality is required
Ability to multitask and perform under pressure
Ability to work Saturdays


We are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status. We are committed to providing a safe, drug-free work environment. Applicants must be willing to submit to a pre-employment background check and drug test. Interested candidates must possess a valid driver's license and have a satisfactory driving record.
Show less "
34,Management and Manufacturing,Motor Vehicle Manufacturing,"CHAMPIONS DO MORE

Welcome to our story. It’s a tale of being different. Obsessing over details. It’s the product of patience, and steadily honing our craft before setting out to innovate the industry we all love.

Today, Crash Champions is home to a collection of team members driven by a deeply rooted purpose and guided by a powerful principle: Here, We Do More.

It’s the Crash Champions DNA and it’s the mark of who we are. Above everything, we believe in what we do; and we hold fast to the conviction of why we do it. We serve our customers and business partners with an unexpected level of personal and professional service to build trust at every touch point.

BECAUSE WE BELIEVE

THE DIFFERENCE IS TRUST

POSITION SUMMARY: Crash Champions is looking for a Director of Operations to join our growing team! The Director of Operations will oversee operations, financial performance, customer satisfaction, employee relations, training, and leadership development within their assigned territory. The Director of Operations effectively motivates, communicates, models, and remove barriers to enable maximum performance, and develop solutions that drive business results.

Essential Functions

Responsible for the overall leadership and management of assigned territory/market.

Achieve or exceed company targets and standards for performance and growth.
Manage market locations that by all standards (especially, KPI’s, Customer Service, Quality and Profitability) is in the top 10% of the industry.
Model and hold team accountable for providing the highest level of customer service in the industry and living the Crash Champions Total Sales Attitude (TSA) every day.
Recruit, manage and develop employees for future growth within our organization.
Measures quality standards by performing in-process and final quality checks.
Facilitates and nurtures relationships with insurance accounts, agents, and customers.
Excels in a fast paced, competitive work environment while ensuring positive employee morale. Creating and instilling a sense of urgency with the team to exceed goals.
Ensure that the shop is properly maintained and organized.
Create and develop new/future leaders.

Skills/Experience

Knowledge of collision industry including knowledge of procedures and requirements for a variety of insurance carriers
10+ years of operations experience
5+ years of people management experience required
Driven personality, eager to grow and able to work well under pressure
Experience using CCC One
Strong problem-solving skills
Show less "
35,Management and Manufacturing,Motor Vehicle Manufacturing,"About Us

Fort Dodge Ford is expanding, and we want YOU to come along for the ride! Being one of the fastest growing dealers in IA, we are in need of people who are looking for a change. The automobile business isn’t what it used to be. Today, we are more connected and serving to our community than any other industry. Some of the best staff members come from our very own clients! This is why we need you! If you have done business with us, you’ve seen first hand our quality of customer care. Maybe you are an automotive enthusiast? Maybe you aren’t quite happy with your current position? Or maybe you want to work for a business that offers purpose and opportunity? It’s time for a change. We want to hear from you!

We are currently seeking Automotive Detailers to join our growing team. We offer a clean and safe environment. Come be part of a team determined to be the best!

Benefits

Family owned and operated
Partners in the community
Opportunities for advancement
Onsite and on the job training
5 Days paid Annual Leave
Medical Plan
Vision Plan
Dental Plan
401(K) Plan


Responsibilities

Wash, wax, and buff the vehicle
Clean interior and exterior windows
Vacuum and scrub interior of vehicle
Clean engine and engine compartment
Apply dressing on tires and tire wells
Utilize special purpose cleaners to ensure lasting cleanliness of vehicles
Operate all tools in a safe manner
Report any safety issues immediately to management


Qualifications

Ability to pay attention to detail
Excellent customer service skills
Ability to follow instructions
Positive attitude
Clean driving record
Willing to submit to a pre-employment background check & drug screen


Fort Dodge Ford Lincoln Toyota provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
Show less "
36,Management and Manufacturing,Motor Vehicle Manufacturing,"Your next opportunity awaits at Mercedes-Benz of Honolulu. We are hiring a Parts Stocker and Delivery Driver to join our team! This is an entry-level position and a great opportunity for someone with the desire to learn and develop - there are many paths for growth within the Service and Parts Department.

The Parts Stocker and Delivery Driver is responsible for ensuring motor vehicle parts are readily available, stored in an organized manner and delivered to the appropriate off-site parties in a safe and timely manner.

Benefits

Health insurance
Dental insurance
Vision insurance
Paid time off
401(k)
401(k) matching
Flexible spending account
Professional development assistance
Life insurance
Employee assistance plan
Disability insurance
Employee Discount for products and services


Pay

$16 - $17 / hour


Qualifications

Valid driver’s license and clean driving record
High School Diploma or equivalent
Three to six months of related experience and/or training


At Fletcher Jones, we attract, nurture, and retain the most talented people in the industry by providing the highest quality work environment where productivity, creativity, and personal and professional growth can flourish. We believe our team sits behind the wheel of the Fletcher Jones brand that drives our company toward success.

We are an equal opportunity employer.
Show less "
37,Other,Motor Vehicle Manufacturing,"Responsibilities:

Assist customers who are waiting for their vehicles to be serviced
Accurately process customer payments
Ensure customer confidentiality
Assist with answering/routing of incoming calls
Scanning/copying/filing
Daily bank run (company provided vehicle)


Requirements:

Excellent communication skills, both oral and written
Superior customer service skills
Computer literate
Accurate with 10-key and typing
Self motivated
Organizational skills with attention to detail
Ability to multi task
Work rotating Saturdays
Valid Driver’s License and able to pass drug/background screening


What We Offer:

Starting wage of $15/hr DOE
Full time position
Health and Life Insurance
Flexible Spending
401k (with company match)
Ford Incentives


Show less "
38,Engineering and Information Technology,Motor Vehicle Manufacturing,"Fairfield Automotive is opening a brand new BMW Dealership in Fairfield, California. We’re driven by our values; We are a Competitive group - We want to WIN. We are Adaptable - Willing to change if there is a better way to deliver a great experience for our guests. We demonstrate Unwavering Ethics - Do it right or fix it fast. We are Collaborative - Teamwork is key to our success. And finally, we want to demonstrate Empathy - The power of authentic connection.

At Fairfield Automotive, we believe that Work-Life Integration is more than just a catchphrase. Our dealership will be closed on Sundays because we know family time is the most important time.

We’re building a world-class home - we think it will be the nicest BMW Center in Northern California, equipped with state-of-the-art employee and guest amenities, including an in-house workout facility for our employees. Our organization is a place with limitless advancement opportunities...if you’re looking for a home, not just a job, we hope you will consider BMW of Fairfield.

We Offer:

A competitive compensation package that rewards high-performers
Employee pricing and incentives
401(k) with company match
Medical, Dental, and Prescription coverage - active on the 1st following 30 days of employment
Company-paid Life Insurance
Fully equipped workout gym on-site
Paid time off


As a Reconditioning Used Car Technician with BMW of Fairfield, you will diagnose and perform maintenance work on all makes and models of vehicles, troubleshooting vehicle issues and fixing them; well-versed in complex mechanical and electrical systems of vehicles; excellent problem-solving abilities; must be a good communicator, able to explain to customers issues with their vehicle; at all times providing an exceptional customer experience.

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily, as assigned. The requirements listed below are representative of the knowledge, skill, and ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

The successful candidate will do the following:

Punctual and regular attendance.
Inspect vehicle engines and mechanical/electrical components to diagnose issues accurately.
Service vehicles in a timely manner for routinely scheduled maintenance in accordance with dealer and manufacturer recommendations; aiming to extend vehicle functionality and longevity.
Repair or replace broken or dysfunctional parts and fix issues.
High sense of urgency and ability to work in a fast-paced environment while managing competing priorities
Enjoy problem-solving and are passionate about staying educated and learning new technology
Communicate all repair order issues and estimated repair times via ASR to keep all pertinent parties up to date on vehicle repairs.
Inform the Shop Foreman of difficulties with repairs and the need for additional repairs.
Comebacks: limit comebacks to less than two percent as defined by the shop foreman.
Self-development: attend training seminars, shop meetings, and service schools.
Customer Relations: attentive to customer needs and responsive to customer inquiries where appropriate.
Team Effort: demonstrate a concern for meeting team/departmental needs through activities such as accepting overtime, following up on needed parts, helping other technicians, and training apprentices.
Productivity: achieve an average productivity rate as defined by the shop foreman.
Efficiency: maintain a minimum efficiency rate as defined by the shop foreman.
Practice safe work habits, follow the company’s safety policies and use personal protective equipment as required.
Provide complete stories in DMS on all jobs.
Perform other duties as may be assigned by management.


Required Skills and Knowledge:

Must maintain a positive and enthusiastic attitude in all that we do.
Demonstrate high character and achieve high results.
Must maintain a professional appearance and provide friendly customer service.
Maintain effective team member relations.
Ability to maintain emotional control in stressful situations.
Must be able to read, interpret and transcribe data in order to maintain accurate records.
Familiar with current technical developments and products, and the ability to stay current with technical bulletins and product updates.
Exceptional attention to detail and follow-through.
Able to use/learn to use: ASR, dealer DMS system, technical software, and manufacturer's diagnostic equipment as required.
Ability to adapt and support new processes and changes to help in employee and customer satisfaction.
Must maintain a clean, safe working environment at all times.
Possess an outstanding work ethic.
Handle all vehicles with care, keep them clean and take precautions to protect all vehicles at the dealership.


Education, Experience, and Certification:

High School Diploma or equivalent work experience.
Prior experience as a reconditioning automotive technician or thorough technical training. Mechanical skills must be sufficient to diagnose and repair given sufficient product training. Ability to provide a tech school/training completion certificate.
The ability to work independently with limited supervision and the motivation to continually increase product knowledge should be evident.
The self-concept of professionals should be coupled with concern for quality service and customer satisfaction.
A complete and up-to-date set of tools.
Must possess and maintain a valid driver’s license.
Must possess and maintain an acceptable Motor Vehicle Record (MVR).
Ability to drive manual transmission vehicles.


Physical Demands:

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Adequate physical ability including sufficient manual dexterity to operate hand tools, machinery, computers, diagnostic tools, and other shop machines in order to perform the required job functions.
Visual acuity to see details of objects that are less than a few feet away. Requires extended visual inspections of work area and components, as well as reading and entering information on computer screens.
Must be able to sit or stand in a stationary position for extended periods of time.
Adequate physical ability to maneuver inside, outside, and under a vehicle as required for diagnosis and repair.
Requires frequent reaching, bending, repetitive hand movements, twisting, standing, walking, sitting, squatting, pushing, and pulling exerted regularly throughout a regular work shift.
Requires frequent lifting and carrying items weighing up to 50 pounds unassisted.
Ability to work in extreme weather conditions in both summer and winter.
Regular, punctual attendance is required.


Work Environment:

This position operates in a professional dealership environment.
Evening and Saturday work will be required. Scheduled shifts will be determined by the manager, with rotating shifts throughout the workweek.
Must maintain a clean, safe working environment at all times.


BMW of Fairfield is an Equal Opportunity Employer

Pay Range: $68,000.00 to $72,500.00
Show less "
39,Other,Motor Vehicle Manufacturing and Manufacturing,"This is an accelerated graduate program designed for high potential, highly-mobile, and candidates with strong interest in the automotive industry, including automotive finance. The selected individual will rotate through three placements in Corporate Communications, Product Communications and Public Relation Events over an exciting 18 month period. This program is not a shadow experience and individuals will be exposed to hands on training in all aspects of the business.




This position is part of the Audi Communications team, which develops and executes Public Relation (PR) strategies that drive brand preference and premium positioning as we transform to an all-electric future. Working across the team, the Graduate Analyst will experience the full spectrum of Audi PR as they rotate from Corporate Communications, Product Communications and PR Events.




Within each rotation, the Graduate Analyst with be supervised on a day-to-day basis by a senior specialist-manager with oversight and mentorship opportunities from the teams’ directors. They will get a diverse and in-depth look into how we build and protect the Audi brand while providing needed support with research, content development and other project execution tasks.




Day To Day Responsibilities Include




Research industry trends
Assist with the writing of communications (e.g., press releases, newsletters, key messages, pitches)
Conduct competitive and innovation audits
Weekly dashboard reporting assistance
Media list development and management
Research partners and vendors
Project and event management




Hybrid




Primary Location




United States-Virginia-Herndon




Required Qualifications




Bachelor’s Degree (Preferred Degree in Communications or Marketing
Solid GPA
Graduation Date no earlier than Fall 2021




Required Skills




Openness and curiosity to learn, analytical thinker, collaborative and team player




Desired Skills




Strong writing skills
Organized and accurate attention to detail
Computer proficient (including spreadsheet, word processing and database applications)
Proven research skills and an understanding of how the news media works
Proficiency with Associated Press writing style
A previous Public Relations internship is a plus




Work Flexibility




We require an individual who is willing and able to learn quickly, adapt, travel and potentially relocate.
Show less "
40,Management and Manufacturing,Motor Vehicle Manufacturing,"Bobcat of the Rockies is a full-service Bobcat Dealership specializing in new, used, and rental compact excavators, skid steer loaders, track loaders, utility vehicles, and Bobcat attachments. Bobcat of the Rockies offers parts as well as both mobile and shop service. Bobcat of the Rockies - Grand Junction is seeking a Class A CDL Driver for local deliveries with a truck and trailer. If you are possess a Class A CDL and have experience working as a CDL driver, we'd like to get to know you! Apply today! $20-25/hour depends on experience Responsibilities

Loading, hauling and unloading of equipment, components, and supplies.
Maintain good working records for time and distance, and all regulatory records as directed.
Maintain and care for shop tools, equipment and vehicles.
General housekeeping including sweeping, shoveling, and cleaning of equipment
Assisting customers and store which includes, helping with all departments of the store
Additional general labor as assigned


Qualifications

Working knowledge of equipment operations is a plus
High school or equivalent
Class A CDL license
CDL driving experience: 1-2 years preferred
Loading and unloading construction equipment: 1 year preferred
Excellent verbal communication skills
Exceptional customer service
Must be able to pass a drug screen


Benefits

Health, Vision, and Dental Insurance
Boot and Safety Glasses Reimbursement
Christmas Savings Program
Paid Vacation and Flex Time
Matching 401K Plan
Profit Sharing and Bonus Program
Short and Long-term Disability
Company Paid Life Insurance
Critical Care and Accident Insurance
Employee Assistance Program
Paid Training
Many opportunities for advancement (We prefer to promote from within)
Family friendly company


We are an equal opportunity employer and prohibit discrimination/harassment without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
Show less "
41,Quality Assurance,Motor Vehicle Manufacturing,"Company Description




Oetiker Tool Corporation, a subsidiary of Oetiker, is a world leader in the design and manufacture of quality hand tools serving as the internal hand tool center of competency for Oetiker as well as engaging customers directly across a variety of industries. Our tools are used by professionals in the electrical, electronic, datacom, automotive, and plumbing industries. We specialize in constantly improving designs and introducing new, innovative hand tools based on our customers' and engineers' extensive trade knowledge.




Oetiker provides customers with the peace of mind that their mission-critical components are reliably connected. We are a global leader in high-end connecting solutions for the vehicle industry and for high-value applications in industrial segments. Our expertise in high-quality clamps, rings, straps and quick-connectors ranges from powertrain and drivetrain applications to medical applications. We offer engineering, prototyping and testing support to quickly create comprehensive solutions for overcoming clamping and connecting challenges. With 1800+ employees in more than 30 countries and over 75 years of experience, we are the trusted, global, long-term partner for the world’s leading OEMs.




Job Description




Click here for job summary or copy & paste link below




https://vizi.vizirecruiter.com/Oetiker-2964/219447/index.html




Salary Range: $88000 - $95000




Implements corrective actions and continuous improvements of quality requirements to consistently achieve customer satisfaction and support a zero defect culture. Quality Engineer assists production personnel with product quality issues. They are the first contact in investigating customer issues and assist in developing and maintaining the OTC Quality Management System. QE is also involved in the development of and ensuring compliance with health, safety, and environmental regulations.




Responsible for internal quality issue fast response
Documents, tracks, facilitates, and completes customer or internal corrective actions with cross-functional team
Support robust problem solving methodology
Drives initiatives to foster a zero defect culture in the plant
Is responsible for the timely and accurate reporting of customer and/or internal quality performance indicators
Assist with analysis of customer part returns or internal non-conformances to determine root cause
Supports customer or internal non-conforming product containment and sorting activities.
Works directly with both management and employee level on continual improvements of our quality system
Supports PPE in PFMEA audits (reverse, high RPN)
Supports customer visit / audits
Participates / Drives Scrap reduction improvement
Qualifications




Bachelor’s degree in Quality Engineering or related equivalent.
Prefer a minimum of three (3) years of quality assurance experience
Proficiency in 8D problem solving, 5 Why Analysis
Effective communication skills in English capable of inspiring a quality driven culture
3+ years quality management and / or quality engineering experience with strong supervisory skills within a manufacturing facility
Able to read and interpret AutoCAD, SolidWorks drawings
Proficiency with precision measuring tools
Excellent communication and follow-through skills and attention to detail
Proven ability to promote transparency and effective reporting methods for audiences ranging from the “shop-floor"" to the management / customer level
High integrity, fair, emotionally mature, self-aware
Familiarity with and/or working knowledge of ISO9001 standards
Show less "
42,Management and Manufacturing,Motor Vehicle Manufacturing,"Ready to join a winning team? Your next opportunity awaits at Mercedes-Benz of Maui. Fletcher Jones Automotive Group, the Nation’s #1 Family-owned and operated organization, is hiring for an Automotive Mechanic at our Maui location.

Automotive Mechanics – we’ve got you covered!

Free medical coverage for Automotive Mechanics and their family
Ability to flag over 200 hours per month
Competitive hourly rates
Paid Training, Time Off including Holidays and Birthday
Employee discount for products and services
All training expenses paid by Mercedes-Benz of Maui to further your career
ASE and Tuition reimbursement available
Supportive Shop Foreman and Team Leaders


Qualifications

Previous experience as an Automotive Mechanic preferred
Degree or Certificate from trade school preferred
Valid driver's license and clean driving record


Responsibilities

Automotive Mechanics are responsible for performing mechanical and electrical diagnosis and repairs on cars, trucks and commercial vehicles.
Automotive Mechanics are responsible for performing work as on the repair order with efficiency and in accordance with dealership and manufacturer standards.


At Fletcher Jones, we attract, nurture, and retain the most talented people in the industry by providing the highest quality work environment where productivity, creativity, and personal and professional growth can flourish. We believe our team sits behind the wheel of the Fletcher Jones brand that drives our company toward success.

We are an Equal Opportunity Employer
Show less "
43,Management and Manufacturing,Motor Vehicle Manufacturing,"Fairfield Automotive is opening a brand new BMW Dealership in Fairfield, California. We’re driven by our values; We are a Competitive group - We want to WIN. We are Adaptable - Willing to change if there is a better way to deliver a great experience for our guests. We demonstrate Unwavering Ethics - Do it right or fix it fast. We are Collaborative - Teamwork is key to our success. And finally, we want to demonstrate Empathy - The power of authentic connection.

At Fairfield Automotive, we believe that Work-Life Integration is more than just a catchphrase. Our dealership will be closed on Sundays because we know family time is the most important time.

We’re building a world-class home - we think it will be the nicest BMW Center in Northern California, equipped with state-of-the-art employee and guest amenities, including an in-house workout facility for our employees. Our organization is a place with limitless advancement opportunities...if you’re looking for a home, not just a job, we hope you will consider BMW of Fairfield.

We Offer:

A competitive compensation package that rewards high-performers
Employee pricing and incentives
401(k) with company match
Medical, Dental, and Prescription coverage - active on the 1st following 30 days of employment
Company-paid Life Insurance
Fully equipped workout gym on-site
Paid time off


The Service Technician is responsible for troubleshooting vehicle issues and fixing them; well-versed in complex mechanical and electrical systems of vehicles; excellent problem-solving abilities; must be a good communicator, able to explain to customers issues with their vehicle; at all times providing an exceptional customer experience.

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily, as assigned. The requirements listed below are representative of the knowledge, skill, and ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

The successful candidate will do the following:

Punctual and regular attendance.
Inspect vehicle engines and mechanical/electrical components to diagnose issues accurately.
Service vehicles in a timely manner for routinely scheduled maintenance in accordance with dealer and manufacturer recommendations; aiming to extend vehicle functionality and longevity.
Repair or replace broken or dysfunctional parts and fix issues.
Communicate all repair order issues and estimated repair times via ASR to keep all pertinent parties up to date on vehicle repairs.
Inform the Shop Foreman of difficulties with repairs and the need for additional repairs.
Comebacks: limit comebacks to less than two percent as defined by the shop foreman.
Self-development: attend training seminars, shop meetings, and service schools.
Customer Relations: attentive to customer needs and responsive to customer inquiries where appropriate.
Team Effort: demonstrate a concern for meeting team/departmental needs through activities such as accepting overtime, following up on needed parts, helping other technicians, and training apprentices.
Productivity: achieve an average productivity rate as defined by the shop foreman.
Efficiency: maintain a minimum efficiency rate as defined by the shop foreman.
Practice safe work habits, follow the company’s safety policies and use personal protective equipment as required.
Provide complete stories in DMS on all jobs.
Perform other duties as may be assigned by management.
Adhere to the Company’s Core Values of Competitive, Consistent, Adaptable, Respectful, and Empathetic.


Required Skills and Knowledge:

Must maintain a positive and enthusiastic attitude in all that we do.
Demonstrate high character and achieve high results.
Must maintain a professional appearance and provide friendly customer service.
Maintain effective team member relations.
Ability to maintain emotional control in stressful situations.
Must be able to read, interpret and transcribe data in order to maintain accurate records.
Familiar with current technical developments and products, and the ability to stay current with technical bulletins and product updates.
Exceptional attention to detail and follow-through.
Able to use/learn to use: ASR, dealer DMS system, technical software, and manufacturer's diagnostic equipment as required.
Ability to adapt and support new processes and changes to help in employee and customer satisfaction.
Must maintain a clean, safe working environment at all times.
Possess an outstanding work ethic.
Handle all vehicles with care, keep them clean and take precautions to protect all vehicles at the dealership.


Education, Experience, and Certification:

High School Diploma or equivalent work experience.
Prior experience as an automotive technician or thorough technical training. Mechanical skills must be sufficient to diagnose and repair given sufficient product training. Ability to provide a tech school/training completion certificate.
The ability to work independently with limited supervision and the motivation to continually increase product knowledge should be evident.
The self-concept of professionals should be coupled with concern for quality service and customer satisfaction.
A complete and up-to-date set of tools.
Must possess and maintain a valid driver’s license.
Must possess and maintain an acceptable Motor Vehicle Record (MVR).
Ability to drive manual transmission vehicles.


Physical Demands:

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Adequate physical ability including sufficient manual dexterity to operate hand tools, machinery, computers, diagnostic tools, and other shop machines in order to perform the required job functions.
Visual acuity to see details of objects that are less than a few feet away. Requires extended visual inspections of work area and components, as well as reading and entering information on computer screens.
Must be able to sit or stand in a stationary position for extended periods of time.
Adequate physical ability to maneuver inside, outside, and under a vehicle as required for diagnosis and repair.
Requires frequent reaching, bending, repetitive hand movements, twisting, standing, walking, sitting, squatting, pushing, and pulling exerted regularly throughout a regular work shift.
Requires frequent lifting and carrying items weighing up to 50 pounds unassisted.
Ability to work in extreme weather conditions in both summer and winter.
Regular, punctual attendance is required.


BMW of Fairfield is an Equal Opportunity Employer

Pay Range: $96,000.00 - $144,000.00
Show less "
44,Administrative,Motor Vehicle Manufacturing,"Stokes Automotive is looking for an office assistant to help assist operations of the dealership's needs. Previous dealership experience is recommended, but not required. Must have prior office experience.

Tasks:

Print/Copy/Scan Paperwork
File away paperwork
Type/Write Letters
Verify all sales/legal documents
Assist in other office needs
Answer phone calls
Assist sales with completing paperwork


We are looking for people who want to grow within our company. Ideal applicants are detail-oriented, results-focused, and self-driven to success. Our business hours are 7am to 7pm, Monday through Friday, and Saturday, 8am to 5pm, and closed Sunday.

Benefits:

Competitive Pay
Health and Dental Insurance
Company 401k
Friendly, Family Atmosphere
Employee Discounts
Show less "
45,"Other, Information Technology, and Management",Motor Vehicle Manufacturing,"We are always looking for bright, motivated, and energetic professionals to add to our world-class team. Our dealership works as a team, and our team strives to be the best for our customers.

If you feel that your skills would be a valuable asset to our customers and you do not see a position listed, apply here!
Show less "
46,Other,Motor Vehicle Manufacturing,"Are you great on the phone, Social Media, video and more? Coca Hyundai is looking to fill the position of Appointment Setter. This person will be the primary point of contact for all online inquires about vehicles. Your objective is to set appointments and have those appointments show up to the dealership. We offer an extremely aggressive pay plan. We also offer a generous bonus and spiff program. Other benefits include health, dental and optical insurance, life insurance, 401k, paid vacation, with other bonuses as earned. Your income is only limited by your effort.

Appointment Setter AttributesDetermines requirements

Answers inquiries

Resolves problems

Escalates unresolved problems.

Forwarding requests.

Fulfill clerical work.

Maintains call center database by entering information

Updates job knowledge by participating in educational opportunities.

Be AMAZING with people

Interpersonal savvy

Have outstanding multi-tasking and problem solving abilities

Always be Customer Focused

Determines Requirements

Answers Inquires

Resolves Problems

Escalates Unresolved Problems

Forward Requests

Maintains call center database by entering information

Updates job knowledge by participating in educational opportunities

Always be customer focused

Have strong verbal and written communication skills

Build relationships quickly

Hourly Wage: $12-$16.00 plus spiffs/commission

Submit your resume today.

What We Offer:

Medical and Dental

401K Plan

Paid time vacation

Paid training

Growth opportunities

Family owned and operated

Long term job security

Discounts on products and services

Qualifications:

Available to work flexible hours & weekends

Ready to hit the ground running on learning new product in’s & out’s

Fantastic communication skills with your customers

Professional, well-groomed personal appearance

Clean driving record Willing to submit to a pre-employment background check & drug screen

Responsibilities:

Build relationships & create customers for life.

Assist them in selecting a vehicle by asking questions and listening carefully to their responses.

Follow-up with buyers to ensure referral business.

Learn to overcome objections

Direct report to the Sales Manager regarding objectives, planned activities, reviews, and analyses.

Bring your ‘A game’ & positive attitude with you every day
Show less "
47,Accounting/Auditing and Finance,Motor Vehicle Manufacturing,"Flexible hours!!

We are a family owned group of dealerships celebrating over 60 years in the car business. Due to continued growth, we are looking for an experienced bookkeeper/accounting assistant. The successful candidate will have an associates degree in Accounting or equivalent work experience. Dealership experience not necessary. More important to have the ability/desire learn and thrive in a fast paced, high energy environment.

We are a drug free/equal opportunity employer
Show less "
48,Administrative,Motor Vehicle Manufacturing,"Acura of Boston is seeking part time receptionists.

Responsibilities

Answer and route incoming calls, direct calls to appropriate associates, assist dealership visitors, provide callers with requested information such as company address and directions, and perform other administrative tasks as needed.


Requirements

Must be available to work Monday-Thursday 4pm-8pm
Friendly disposition
Great communication skills
Comfortable working in a busy work environment
Superior customer service skills
High energy work ethic
Experience with Microsoft Word and/or Excel is a plus


Show less "
