"",Job Function,Industry,Job Description,Segment,female,male
26,Management and Manufacturing,Telecommunications,"Overview And Essential Functions




Pauley Construction has a great opportunity available! We are looking for an experienced Supervisor to operate out of our Colorado Springs, CO office. Must have extensive knowledge of copper splicing, testing, placement, planning and operational matters. The ideal candidate should have some level of supervisory experiences over several employees and/or subcontractors. This is a full-time; benefits eligible position that offers competitive wages and dynamic growth opportunities along with full benefits including company matching 401K.




Please apply directly on our website at http://www.pauleyc.com Come grow with us at Pauley Construction!




Overview:




The position of a Supervisor within the structure of Pauley Construction is to manage two to four crews consisting of crew leaders or foremen. The type of work would consist of repetitive work assignments that would exist in a Superintendent’s structure. This can include tailgate meetings, senior leadership meetings and ensuring your crews and employees are meeting the required productivity goals. This position must also be able to communicate with external customers including city inspectors and personnel. This position will be responsible for coordinating pre-construction meetings and keeping safety and production records along with doing as-builds.




The main objective of a Supervisor is to directly manage each crew and type of work assigned. The three main focus areas are safety, quality and meeting or exceeding production requirements as established by their direct manager.




Qualifications




Responsibilities:




Oversees and lead crews in meeting and maintaining daily production goals as well as maintaining production records.
Coordinates with their direct manager to invoice jobs in a timely manner as established in company policy and area goals for each job.
Each Supervisor will ensure that all company safety policies, OSHA, DOT and any special requirements of a project are in compliance with each crew assignment.
All accident investigations, including job damage, employee injury and vehicle accidents will be the responsibility of the Supervisor and/or Superintendent.
Attends all safety meetings with the crews assigned to the Supervisor.
Attends all in-house training and out-sourced training as adopted in the company policy.
Is responsible along with the Superintendent for all property owner complaints and personally investigates all complaints.
Assures 100% adherence to all company safety policies.
The Supervisor will communicate all equipment needs to their direct manager. This includes repair, maintenance and rental needs.
The Supervisor will keep all trucks and equipment in a clean condition.
Responsible for staffing, training and performance of employees which can include working with Human Resources to recruit, onboard, train, coach, discipline and terminator employees.
Consulting with direct manager before ordering or procuring new material
Interfacing with customers frequently to discuss needs and jobs.
Must be able to complete a total of 8 JSO’s including auditing of their direct reporting crews.
If needed; must complete daily DVIR.
Must ensure that their assigned fleet is gate checked within a 45 day timeframe.




Qualifications:







Minimum Education/Experience Requirements:




Experience working in telecommunications or utility construction
Proven leadership experience guiding employees to produce high quality results and teamwork
Any combination of education and/or experience that demonstrates ability to perform the designated job duties and responsibilities of the position.




Reasoning Ability:




Ability to make common sense understanding to carry out instructions that are provided in written, oral or drawing. Ability to deal with and understand problems involving different variables in many varied situations involving employees, customers, vendors and the public.







Mathematical Skills:




Ability to calculate figures and amounts (measurements in terms of distance, proportions, percentages and area. Ability to apply concepts of basic mathematics. Ability to apply some basic accounting principles.







Language Skills:




Ability to read, understand and interpret documents such as safety rules and requirements, machine manuals of operation and process procedures. Ability to write information including reports. Ability to speak effectively to customers, coworkers and vendors.







Other Requirements:




Must possess a valid driver’s license.
Must be at least 18 years of age to drive company vehicles or operate company equipment.
Must be able to pass a background check and company drug screening.
Must be able to attend and pass all company required training as needed.
May be required to work after hours; on weekends or be on-call as work is needed to ensure work is completed.
May include working nights and holidays as needed.
May be required to travel in state or overnight as necessary to meet business and job requirements.
Regular and timely attendance is an essential function of this position.




Physical & Safety Requirements and the Working Environment:




(The physical duties outlined below are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to be able to perform the outlined functions)




Duties outlined in this position will require the employee to stand, crouch, sit, bend, use hands and fingers to handle or feel as well as reaching with hands and arms to spaces both high and low. The employee will be standing, walking, climbing, balancing, crawling, crouching, lifting, holding or stooping while on shift.
The noise level in the work environment for this position is moderate. This position will be out in the field on job sites as well as in the office.
Employees performing functions of this position are regularly exposed to outside weather conditions which can include but is not limited to: extreme heat and cold temperatures; inclement weather such as rain, snow, sleet and dust as well as adverse driving conditions including wet roads, icy roads, and fog.
Employees performing these job functions are required to lift or move up to 10 pounds and frequently lift or move up to 50 pounds.
Employees in this job classification may be exposed to dust, fumes or other airborne pathogens.
Employees may be exposed to toxic or corrosive chemicals as well as moving machinery parts and pieces.
Specific vision abilities required to perform this job include but are not limited to: close vision, distance vision, color vision, peripheral vision, depth perception and the ability to adjust focus potentially near and/or far as needed.




Benefits And Company Summary




Company:




Pauley Construction is a regional contractor providing infrastructure solutions for the installation and maintenance of utility systems further offering regional contracting services throughout the West United States, specializing in full turnkey services for the design, installation and maintenance of utility infrastructure. Pauley has a highly skilled, diversified workforce that allows the flexibility to choose the most cost-effective and least disruptive placement methods. Our experienced and knowledgeable employees have helped us become a respected name in the utility construction industry.




Headquartered in Phoenix, Arizona, Pauley has served its customers located across many of the major Western markets, including Arizona, California, Texas, Colorado, Montana, New Mexico, and Wyoming. Founded in 1991, Pauley is dedicated to meeting and exceeding its customer needs by adopting new technologies and providing superior customer service. From deep-ditch excavation, hand-digs, aerial construction to technical services including fiber and copper splicing, Pauley will get the job done right while guaranteeing on-time delivery.




Pay Range: The annual salary range for the Supervisor position is $65,000 - $75,000 /yr, depending on experience.




Benefits:




At Pauley Construction, we value the growth of our employees. We promote dynamic learning through on-the-job training and peer mentoring. Our employees are our greatest resource and we encourage you to join the Pauley Construction family!




Along with our unique approach to training, Pauley Construction offers many great benefits including:




Full benefits package including medical, dental and vision for all eligible employees
Long Term and Short Term Disability Plans
401K Contribution Plan with company match
Tuition Reimbursement Program
Paid CDL Testing
Employee Referral Program
Paid Time Off
Leadership Training




To apply for an open position with us, please submit an application here. We provide a prompt turnaround on all applications submitted.




#ZR1




EEO




Our Company is an Equal Opportunity Employer and prohibits discrimination and harassment of any kind including, based on disability and protected veteran status. The Company's policy is not to discriminate against any applicant or employee based on race, color, sex, sexual orientation, gender identity, genetic information, religion, national origin, age, disability, veteran status, or any other basis protected by applicable federal, state, or local laws.




The Company also prohibits harassment of applicants or employees based on any of these protected categories. It is also the Company's policy to comply with all applicable state and federal laws respecting consideration of unemployment status in making hiring decisions. Please visit the following URL to view the EEO is the Law poster and the Supplement. (https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm)




The Company also does not consider criminal convictions to be an absolute bar to employment and will consider qualified applicants with criminal histories.




Applicants applying for positions in Illinois are not required to disclose arrests or sealed or expunged records of convictions.
Show less ",1,0,0
27,"Design, Art/Creative, and Information Technology",Telecommunications,"Job Title: CAD Designer - Structural Detailer

Business Unit: Tower Engineering Solutions, LLC

Department: Construction

Reports To: Structural Engineer and/or CAD Manager

Employment Status: Full-time, non-exempt

Compensation and Salary: $19.00 to $23.00 per hour

Primary Location: Irving, TX

Job Summary

Tower Engineering Solutions, LLC based in Irving, TX offers engineering and design services to the telecommunications industry. We are looking for qualified candidates for CAD Designer positions. The CAD Designer will use AutoCAD to create drawings under the supervision of TES structural engineers and/or CAD manager

Job Responsibilities (Including, But Not Limited To)

Create modification drawings for telecom structures, including self-supporting towers, guyed towers and monopoles. The modification drawings typically include tower profiles, assembly drawings, fabrication details and bill of materials.
Generate modification drawings for existing foundations.
Prepare modification drawings to remediate structural and maintenance issues on existing towers as identified through tower inspection reports.
Create or modify tower profiles, site plans and collocation drawings for installation of additional carrier equipment on telecommunication structures.
Maintain tower drawings history using the established site folder structure.
Check drawings created by others when required.
Adhere to appropriate quality control procedures set by TES.
Desired Qualifications:

Familiar with steel structures, such as angles, channels, pipes and bolts.
Minimum experience with rebar, concrete.
Proficient in computer software programs, including AutoCAD and Microsoft Word, Outlook and Excel.
Ability to work with functional groups and engineers to effectively and professionally achieve results.
Good written and oral communication skills, including the ability to present ideas and suggestions clearly and effectively.
Self-motivated, able to work both independently and accurately to complete tasks without constant supervision.

Education And Experience

High School Graduate
Associate degree/certificate in AutoCAD preferred.
Minimum of 1 year experience with AutoCAD, 2010 or higher preferred
Preferred experience in telecommunication tower structures.

Company Profile

Tower Engineering Solutions, LLC, a Congruex company

Founded in 2012, Tower Engineering Solutions (TES) is a structural engineering company focused on wireless tower infrastructure. We provide a full suite of service from mount mapping and structural analysis to modifications and inspections. TES leverages proprietary software and analytical tools to support clients in reducing their cycle times to market, ensuring compliance with industry standards, all while achieving substantial cost savings. TES is headquartered in Dallas, TX.

Tower Engineering Solutions, LLC offers a competitive salary (paid bi-weekly), bonus, medical, vision and dental insurance benefits, 401(k) plan, paid holidays and vacation time

Congruex

Congruex was formed in 2017 to take advantage of historic demand for digital connectivity. The digital networks we design and build for our clients enable everything in the modern world to operate, from healthcare and energy to transportation and social interactions. Few companies in our industry can operate at scale and self-perform services like our multinational team. Our clients choose Congruex to deliver turnkey digital networks under a single platform. Our unified vision is to become the best end-to-end provider of network design and build services in the U.S.

We are the One Congruex Family. We are building tomorrow, together.

All requirements are subject to possible modification to reasonably accommodate individuals with disabilities.

This job description in no way states or implies that these are the only duties to be performed by the employee occupying this position. Employees will be required to follow any other job-related instructions and to perform other job-related duties requested by their supervisor.

Requirements are representative of minimum levels of knowledge, skills, and/or abilities. To perform this job successfully, the incumbent will possess the abilities or aptitudes to perform each duty proficiently.

This document does not create an employment contract, implied or otherwise, other than an “at-will” employment relationship.
Show less ",1,0,0
28,Other,Telecommunications,"Call Center Supervisor At EMS, we ""Contact Center"" differently. We support our customers and clients every step of the way and provide an excellent customer service experience. The position: Come help us grow a team of energetic Customer Service Agents who provide excellent service and support to customers! We are looking for an individual who is self-motivated and has the natural ability to lead and motivate others. The Operations Supervisor is responsible for the day-to-day management of a team of employees to include motivating, recognizing, coaching, counseling, training and problem solving. The successful candidate will develop positive interaction with the clients including conference calls, call calibrations, scripting, etc. and assisting in resolving client concerns in a timely manner is a must. You will need : * Excellent teamwork and customer service skills * Must be creative and have a think outside the box mindset * The ability to come up with ideas to aide in client satisfaction and customer service * Excellent oral, written and interpersonal communication skills * Ability to provide and support the companies/client's vision and direction * Ability to communicate effectively to a variety of audiences * Proven leadership experience and the ability to develop and motivate a team Nice to Have : * Bachelor's degree in Business or related field or equivalent education and experience * A minimum of one year supervisory experience with a blended Inbound/Outbound contact center * One to three years contact center experience * Knowledge of CRM tools and Microsoft Office products EMS Offers : * Paid on-the-job training * Medical, dental, vision, and life insurance benefits * Individual work spaces * Social distancing practices in place * Complimentary breakfast on Fridays * Free parking * North-West Omaha location Company Description EMS, Inc. is a full-service contact center providing superior outsourced customer support. We pride ourselves in going above and beyond to ensure our clients receive world class service. We target technical support and customer care programs but have the experience and expertise necessary to handle any type of program requiring support services. At EMS, we pride ourselves in being more than the average answering service. EMS was founded in 1998 by Mitchell D. Johnson with the vision to provide superior live chat and email response services for numerous companies' customers. Years later we have evolved into a full service customer contact center and continue to provide superior services. EMS specializes in ""Humanizing Customer Service"" by providing timely, personal responses to customer questions and has become a recognized leader in customer service outsourcing. Our goal is to make outsourcing easy for our clients. EMS is privately owned and centrally headquartered in Omaha, Nebraska. We provide our clients with accent neutral multi-channel customer care solutions. Our end-to-end customer service offerings include: inbound and outbound telephone services, e-mail response and support, CRM solutions, consulting, IVR, live chat, fulfillment and direct marketing. EMS representatives are available 24 hours a day to supply your customers with the help they need when they need it.




EMS, Inc. is a full-service contact center providing superior outsourced customer support. We pride ourselves in going above and beyond to ensure our clients receive world class service. We target technical support and customer care programs but have the experience and expertise necessary to handle any type of program requiring support services. At EMS, we pride ourselves in being more than the average answering service. EMS was founded in 1998 by Mitchell D. Johnson with the vision to provide superior live chat and email response services for numerous companies’ customers. Years later we have evolved into a full service customer contact center and continue to provide superior services. EMS specializes in “Humanizing Customer Service” by providing timely, personal responses to customer questions and has become a recognized leader in customer service outsourcing. Our goal is to make outsourcing easy for our clients. EMS is privately owned and centrally headquartered in Omaha, Nebraska. We provide our clients with accent neutral multi-channel customer care solutions. Our end-to-end customer service offerings include: inbound and outbound telephone services, e-mail response and support, CRM solutions, consulting, IVR, live chat, fulfillment and direct marketing. EMS representatives are available 24 hours a day to supply your customers with the help they need when they need it.
Show less ",1,0,0.14
29,Management and Manufacturing,Telecommunications,"Company Background




Founded in 1977, TriStruX provides comprehensive turnkey telecommunications service solutions to the industry's largest wireless telecom carriers, equipment OEMs, MSOs, and tower companies. The company leverages in-house and subcontracted labor to accommodate all aspects of the telecommunications industry, focusing on telecommunication, fiber, 5G and civil installation and construction services in the largest US metro areas and more than 20 states nationally. In December 2021, the company completed an investment for majority control from Huron Capital, a Private Equity firm based in Detroit, MI. The company competes in markets leveraging an addressable market of $55B in annual wireless carrier capital spending.




Job Summary




We are currently seeking Electricians with experience in the telecommunications industry. Applicants must have knowledge of wire pulling from high to low voltage and pipe bending experience (preferred), and be willing to work in all weather conditions.




Responsibilities




Follows construction drawings, scope of work, specifications or verbal instructions and plans the intended location of wiring and equipment.
Measures, cuts, assembles and installs electrical wiring, stripping, splicing as necessary.
Installs switches, circuit breakers, grounding leads and other electrical components.
Performs circuit testing for continuity and safety after installation, and makes adjustments as needed.
Does all work in accordance with the National Electric Code as well as state and local building and electrical codes.




Education And Experience




Minimum 2 years of electrical experience.
A valid drivers license and reliable transportation.
Ability to safely lift, push or pull material and equipment (ie. back up batteries, sakrete bags).
Willingness to work indoor and outdoor (hot and cold temperatures).
Must be willing to execute duties as assigned.
OSHA Construction 10 Hour Certification preferred
RF training a plus.
Fiber work a plus.




This job description in no way states or implies that these are the only duties to be performed by the employee(s) incumbent in this position. Employee(s) will be required to follow any other job-related instructions and perform any other job-related duties requested by any person authorized to give instructions or assignments.




A review of this position has excluded the marginal functions of the role that are incidental to the performance of fundamental job duties. These duties and responsibilities are essential job functions and requirements and are subject to possible modification to reasonably accommodate individuals with disabilities. To perform this job successfully, the incumbent(s) will possess the skills, aptitudes, and abilities to perform each duty proficiently. Some requirements may exclude individuals who pose a direct threat or significant risk to the health or safety of themselves or others. The requirements listed in this document are the minimum levels of knowledge, skills, or abilities.




TriStruX is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: TriStruX is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at TriStruX are based on business needs, job requirements, and individual qualifications, without regard to race, color, religion or belief, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. TriStruX will not tolerate discrimination or harassment based on any of these characteristics. TriStruX encourages applicants of all ages.
Show less ",1,0,0
30,Management and Manufacturing,Telecommunications,"Company Information




Armstrong Utilities, Inc. connected our first cable television customers in 1963, in Butler, Pennsylvania. Since that time, we have continued to keep pace with the technological advancements of this ever-changing industry.




Our first customers received nine channels. Today, Armstrong offers consumers hundreds of viewing options, High Speed Internet service, telephone service and a variety of business products, all over our state-of-the-art broadband network.




Throughout our more than 50 years in cable television, Armstrong has been a leader in innovation. Using fiber optics and advanced technology, our networks are designed to provide leading-edge services and high reliability.




Armstrong has always relied on the great people who work for us. Nationally recognized for customer service excellence, their dedication to the customer has kept us a leader in the industry.




Responsibilities




The Construction Foreman provides the frontline supervision and leadership for the construction crew. Knowledge is required in both aerial and underground construction.
Directs and performs underground construction and maintenance duties involved with HFC, FTTx, and telephone facilities
Operates company vehicles and equipment including, fork lifts, backhoes/trenchers, horizontal direction drill, locators, and other machines
Professional level knowledge of and ability to execute NESC construction guidelines, Armstrong construction practices, and Dig-Safe practices
Set up safe work zone according to federal and state standards
Ensures that vehicles and equipment are properly maintained, licensed, and comply with all DOT standards/laws
Works outdoors in the elements
Thorough understanding of network design prints
Accurately maintains daily work log and inventory
Follows all Armstrong safety policies
Other assigned tasks




Qualifications




High school diploma or equivalent (GED)
Strong leadership skills
Minimum 5 yrs. of CATV/Tele construction experience
Must possess a positive attitude, a strong work-ethic, and a desire to learn
Must be able to travel
Physical capabilities including climbing, lifting, and carrying a minimum of 75 lbs.
Must maintain physical fitness to meet weight limit requirements for ladders and lifts and be able to meet the demands of a labor-intensive job
Must be able to take direction verbally and written and be able to work rapidly under time pressure
Demonstrated ability to make sound judgments and ethical decisions
Available to work after business hours as required, i.e. storm damage
Regular, punctual, and consistent attendance
Class A Commercial License with airbrake and tanker endorsement, DOT medical card, fork lift certification




Armstrong is an Equal Opportunity Employer.




#INDA
Show less ",1,0,0.25
31,Human Resources,Telecommunications,"Why CCI? CCI Systems, Inc. is an Employee-Owned Telecommunications Company based in Iron Mountain, MI with 60+ years of industry knowledge and experience. Our outstanding team-based work culture and environment has allowed us to grow, develop, and retain long-term employees. We offer a comprehensive benefits package, competitive pay, flexibility, paid on-the-job training, overtime, professional development, and inspire you to be bold, yet accountable. We value our employees’ hard work and determination and REWARD results all while having fun!




Our mission is to make life better by connecting people through innovative communication systems.




Engineering is seeking a Training Specialist to enhance the on-boarding and key competencies of Design & Engineering employees by conducting training programs. The ideal candidate may be experienced in, or have a desire to be leading in a classroom setting and curriculum creation, will possess patience and understanding while working with many different personality types, and be knowledgeable of the nuances of the Design Engineer position at CCI Systems, Inc.




Duties And Responsibilities




Lead classroom style, group, and one-on-one training sessions to help employees cultivate their skills and knowledge.
Craft curriculum and assemble training materials to be of service and support technical and departmental training needs.
Support and mentor employees in training.
Be of a service mindset; listen to, understand and work hard for others.
Maintain scheduling, tracking and keep appropriate records.
Employ a positive attitude, “can-do” mindset and keep “fun” in every training session.
Evaluate and benchmark training of new and existing employees including regular structured assessments of individual trainees.
Be knowledgeable and have an understanding of most Design & Engineering drafting and design software platforms, design theory, AutoCAD drafting enhancement packages, automated QC routines, to be able to train employees and answer questions.
When training on a specific project, work with the Project Manager to gain a thorough understanding of the project specs, rules, tracking tools, timesheet requirements, QC process, etc.
Continuous learning of changing industry trends and advancements, coordinate with managers to determine ongoing training needs.
Willingness to keep up with new training techniques in corporate teaching.
Be a point of contact to employees that have follow-up questions or needs in relation to training, maintain accountability in a helpful and positive way.
Enlist and coordinate training with other trainers for specialized skills or responsibilities.
Perform other related duties as assigned by Management.




Requirements




Bachelor’s degree in Education, Engineering, Communication, or equivalent preferred.
Two years of experience in CATV design and drafting or related technical field preferred.
One year of teaching or training experience preferred.
Positive attitude, service mindset, and ability to work well with a diverse group of people.
Innovative, critical thinking, and decision-making skills.
Excellent oral and written communication skills.
Strong organizational and time management abilities.
Teamwork and the ability to accept increasing responsibility is a must.




Shift is full-time Monday – Friday between the hours of 6:00 am– 4:00 pm CST but must have flexibility to train on both day shift and night shift and work outside normal business hours as needed. Further schedule determinations TBD by hiring teams.
Show less ",1,0,0.2
32,Information Technology,Telecommunications,"Overview and Essential Functions Kanaan Communications is currently seeking to fill Fiber Splicer Technician positions. Summary of Position: A successful Fiber Splicer shall be responsible for proper preparation and splicing of fiber optic cable within a telecommunications system. At a minimum, the position requires a good working knowledge of telecommunications network structure; familiarity with fiber optic cable, splice enclosures and the functionality of each; ability to use OTDR and fusion splicing equipment; ability to read fiber matrices; ability to interpret and analyze data; and, ability to identify and troubleshoot problems. Responsibilities: Completion of low level and high level labor intensive tasks as well as operation of assigned construction equipment. Completion of daily production reports to document work performed. Use of hand tools, ladders, and equipment to assist in the completion of an assigned project. Clean and maintain supplies, tools, equipment, and work areas in order to ensure compliance with safety regulations. Qualifications 1+ years of related work experience. Proficient in the use of hand tools and equipment. (Wrenches, Drills, Ladders, Lanyards, Fork Lifts, Saws, etc.) Proficient in the use of telecom construction equipment. (Aerial Lifts, Dozers, Lashers, Meters, Plows, etc. Successful completion of pre-employment background check, motor vehicle check, drug test, and DOT physical exam, resulting in a valid medical car High School Diploma or GED Must possess a valid driver’s license for at least 2 years Physical Requirements & Working Conditions: Climb into and out of equipment (trucks, cars, backhoes, trenchers, etc.) Must be able to lift/carry 80 lbs. regularly as needed with or without assistance The employee will be sitting, bending, using hands and fingers to handle or feel as well as reaching with hands and arms to spaces both high and low, standing, walking, climbing, balancing, crawling, crouching, lifting, holding, or stooping while on shift Ability to work while wearing safety boots, safety glasses and hardhat Remote work may be required - long driving and sitting will be required in these instances Specific vision abilities required to perform this job include but are not limited to close vision, distance vision, color vision, peripheral vision, depth perception and the ability to adjust focus potentially near and/or far as needed The noise level in the work environment for this position maybe moderate to loud All work is outdoors so employees in this position are regularly exposed to outside weather conditions which can include but is not limited to extreme heat and cold temperatures; inclement weather such as rain, snow, sleet, and dust as well as adverse driving conditions including wet roads, icy roads, and fog Benefits and Company Summary What Kanaan offers: Opportunity to work in a growing company Competitive Pay and weekly paychecks Paid Time Off Paid Holidays Comprehensive Benefits Package: Health Insurance: Medical, Dental, Vision and Prescription Plans Life Insurance Long & Short-Term Disability 401(k) with Company Match Employee Monthly Stock Investment Plan Educational Reimbursement Flexible Spending Accounts Health Savings Account Cigna Critical Illness & Accident Insurance Employee Assistance Program Legal Insurance Plan SurgeryPlus service Teladoc System Who we are: Kanaan Communications, LLC provides a wide range of services to telecommunications providers including engineering services; outside plant construction (Aerial/Underground); plant maintenance; network upgrades including node splits, fiber & coax splicing, and activation/certification work. Kanaan has a specialized power supply team providing maintenance, capital improvements, and on-demand services. Join the Kanaan Communications Team! EEO Our Company is an Equal Opportunity Employer and prohibits discrimination and harassment of any kind including, based on disability and protected veteran status. The Company's policy is not to discriminate against any applicant or employee based on race, color, sex, sexual orientation, gender identity, genetic information, religion, national origin, age, disability, veteran status, or any other basis protected by applicable federal, state, or local laws. The Company also prohibits harassment of applicants or employees based on any of these protected categories. It is also the Company's policy to comply with all applicable state and federal laws respecting consideration of unemployment status in making hiring decisions. Please visit the following URL to view the EEO is the Law poster and the Supplement. (https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm) The Company also does not consider criminal convictions to be an absolute bar to employment and will consider qualified applicants with criminal histories. Applicants applying for positions in Illinois are not required to disclose arrests or sealed or expunged records of convictions.
Show less ",1,0,0
33,Management and Manufacturing,Telecommunications,"We are seeking a Construction Superintendent to join our team! You will oversee project planning, scheduling, budgeting, and implementation. Candidate must have 5 years minimum experience in commercial interior construction. Responsibilities: * Oversee all aspects of construction project from planning to implementation * Allocate resources for assigned projects * Supervise onsite personnel and subcontractors * Interface with project inspectors, contractors, architects, engineers, city and county officials, and clients * Maintain high standards of workmanship that adhere to original plans and specifications Qualifications: * Previous experience in construction management or other related fields * Familiarity with construction management software * Strong leadership qualities * Strong negotiation skills * Deadline and detail-oriented Company Description We are a general and electrical contractor that self performs all of our electrical and carpentry trades. Our target market is commercial interior construction




We are a general and electrical contractor that self performs all of our electrical and carpentry trades. Our target market is commercial interior construction
Show less ",1,0,0
34,Information Technology,Telecommunications,"Responsible for terminating and testing fiber optic networks according to engineered drawings (includes




aerial, underground, and ISP networks).




Responsible for prepping and splicing all cables, enclosures, and racks.




Responsible for OTDR testing, power meter and identifying and labeling cables and terms.




Responsible for providing and updating ongoing project tracking information and production sheets.




Must be able to interact with others, including project engineers, managers, and general public.




Must have basic fiber splicing skills.




Must be a good problem solver.




Must be detailed.




Must be able to make good judgement decisions.




Must be able to work with a team.




Must be able to follow basic work procedures.




Job Posted by ApplicantPro
Show less ",1,0,0
35,Information Technology,Telecommunications,"Overview and Essential Functions This role supports the company’s internal and external clients on a vast array of technical products and/or services. The IT Support Lead will be responsible for troubleshooting and repairing technical products in an effort to resolve problems while supporting all administrative and reporting functions of the group. The Support Lead will monitor all company IT process efficiencies and handle all Support escalations. Qualifications KNOWLEDGE, SKILLS, and & ABILITIES
Knowledge and experience of customer service practices
Technical aptitude with strong PC literacy skills
Ability to learn and apply technical information in a fast-paced, demanding work environment
Able to read, understand, and create technical manuals and procedural documentation
Able to efficiently create and analyze standard and ad-hoc reports
Working knowledge of relevant software, hardware, and other equipment; including but not limited to: ○ Desktop OS (e.g. Microsoft Windows) ○ Productivity software (e.g. Microsoft Office) ○ Printer support (TCP/IP settings, etc) ○ Installing network printers and troubleshooting printer connectivity problems. ○ Password resets, account activation/deactivation ○ Understanding of SMTP, HTTP ○ Able to use Remote Sessions (e.g. LogMeIn Rescue, VNC, etc.) ○ Web-based productivity software (e.g. Google Apps for business) ○ Knowledge of relevant call tracking applications ○ Knowledge of ITSM tools, (e.g. ServiceNow, Remedy, etc.) ○ Knowledge of mobile device support REQUIREMENTS
Troubleshoot, analyze, resolve, track, escalate and accurately document various technical problems
Ensure routine tasks are clearly documented and published in the self help tool
Provides training to users in the use of all hardware and software we support
Provides friendly, courteous, and quality systems support to all users
Motivated to meet or exceed all SLA goals
Respond to incoming telephone calls, voicemail, web-submissions, emails and/or chat for assistance from users experiencing problems
Track and support all IT equipment needs and reporting
Provide Level I/II/III technical support (when applicable)
Monitors open case tickets and works to ensure that set service level agreements are met
Assist with advanced troubleshooting for special projects as directed by the Manager
Analyze and document customer requests in support tracking system
Stay current on and adhere to established policies, procedures and documentation
Run and review custom reports from the asset and ticket management systems
Coordinate phone & ticket queue activities, including resource assignments
Design optimization and/or workflow optimization for various tools used within the Support organization.
Recommends changes in policies/procedures to the Manager
Flexibility to directly assist with any other tasks at the discretion or request from manager WORK CONDITIONS
Reporting to office location Monday-Friday (Selma, TX)
Ability to successfully lift 50lbs
Sitting/Standing/Moving for extended periods of time
Dexterity of hands and fingers to operate a computer keyboard, mouse, and other devices and objects
Participate in and facilitate training sessions, presentations, and meetings. This is an Exempt position, 40 hour per week with occasional overtime required. Benefits and Company Summary Benefits Health Insurance: Medical, Dental, Vision, and Prescription Plans Flexible Spending Accounts Retirement Savings Plan (401K) with company matching. Stock purchase plan Short- & Long-Term Disability Supplemental Life and ADD&D Insurance Paid Holidays & Vacation (PTO) This is an Exempt position, 40 hour per week with occasional overtime required. Company: Texstar Enterprises, LLC (""Texstar"") provides project management, construction, and maintenance services for telecommunications providers in the Southwest and Pacific Northwest regions of the United States. We offer a turnkey solution for network deployment that encompasses every aspect of aerial and underground line construction and all associated maintenance. Headquartered in Selma, Texas. Texstar has been delivering reliable, cost-effective solutions to leading telecommunications providers across the country since 1989. We are fully committed to providing a safe work environment for our employees and continuously strive to exceed the expectations of our customers. Our Company is an Equal Opportunity Employer and prohibits discrimination and harassment of any kind including, based on disability, and protected veteran status. The Company's policy is not to discriminate against any applicant or employee based on race, color, sex, sexual orientation, gender identity, genetic information, religion, national origin, age, disability, veteran status, or any other basis protected by applicable federal, state, or local laws. EEO Our Company is an Equal Opportunity Employer and prohibits discrimination and harassment of any kind including, based on disability, and protected veteran status. The Company's policy is not to discriminate against any applicant or employee based on race, color, sex, sexual orientation, gender identity, genetic information, religion, national origin, age, disability, veteran status, or any other basis protected by applicable federal, state, or local laws. The Company also prohibits harassment of applicants or employees based on any of these protected categories. It is also the Company's policy to comply with all applicable state and federal laws respecting consideration of unemployment status in making hiring decisions. Please visit the following URL to view the EEO is the Law poster and the Supplement. (https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm)
Show less ",1,0,0
