"",Job Function,Industry,Job Description,Segment,female,male
54,Other,Education Administration Programs,"High school experience preferred. This is a small, public charter school grades 6-12.




Start Date 2/28/2023




Duty Days 240




Reports To Principal




Job Posting Link https://www.magiccityacceptanceacademy.org/




Salary Range: From/To 60,000 and up




Job Attachment View Attachment
Show less ",1,0,0
55,Education and Training,Primary and Secondary Education,"General Responsibilities

Under direction of the school principal, plan and provide for appropriate learning experiences for students. Provide an atmosphere and environment conducive to the intellectual, physical, social, and emotional development of individuals to ensure success for every student. Supervise students in a variety of school related settings. Monitor and evaluate student outcomes. Communicate and interact with students, parents, staff, and community. Develop, select, and modify instructional plans and materials to meet the needs of all students. Maintain appropriate records and follows required procedures and practices. Monitor appropriate use and care of equipment, materials, and facilities.

Essential Functions

Plan a program of study that, as much as possible, meet the needs, interests, and abilities of students.
On a regular and consistent basis, meets and instructs assigned classes in the locations and at the times designated.
Create a classroom environment that provides for student involvement in the learning process and enable each student to achieve learning objectives.
Provide an instructional program to meet the needs of all students.
Prepare for classes assigned and show written evidence of preparation upon request of immediate superior.
Guide the learning process toward the achievement of curriculum goals and in harmony with the goals, establish clear objectives for all lessons, units, projects and the like to communicate these objectives to students.
Establish learning objectives consistent with appraisal of student needs, requirements of VBCPS curriculum framework and knowledge of human growth and development.
Plan for and utilize instructional methods, resources and evaluation techniques which motivate and enable each student to achieve learning objectives.
Take all necessary and safety precautions to protect students, equipment, materials, and facilities.
Maintain accurate and complete records as required by law, VBCPS policy and administrative regulation.
Assist the administration in implementing all policies and rules governing student life and conduct and, for the classroom, develops reasonable rules of classroom behavior and procedure, and maintain order in the classroom in a fair and just manner.
Make provision for being available to students and parents for education-related purposes outside the instructional day when required or requested to do so under reasonable terms.
Establish relationships with colleagues, students, parents, and community which reflect recognition of and respect for every individual.
Plan and supervise purposeful assignments for teacher assistants and volunteers.
Appraise his/her own effectiveness and demonstrate successful application of skills and information acquired to increase effectiveness. Strive to maintain and improve professional competence.
Participate in school management and share responsibility for the total school program.
Attend staff meetings and serve on staff committees as required.
Perform other duties as required.

Knowledge, Skills And Abilities

Knowledge of VBCPS curriculum and techniques for integrating curriculum, VBCPS policies and effective instructional practices; thorough understanding of the teaching and learning process; ability to provide instruction that reflects multiple perspectives and multicultural education; ability to infuse technology into curriculum; ability to work effectively with administrators, colleagues, central office, school based staff, students, parents and community; excellent oral and written communication and human relations skills.

Education And Experience

Required: Bachelor's Degree in applicable field of education from an accredited college or university. Must have or be eligible for a teacher license from the Virginia Department of Education.

Physical Requirements

Must have the use of sensory skills in order to effectively communicate and interact with other employees and the public using the telephone and personal contact as normally defined by the ability to see, read, talk, hear, handle or feel objects and controls. Frequent sitting, walking, standing, bending, grasping, fingering, repetitive motion, and reaching. Occasional stooping and kneeling. Ability to lift up to 20 pounds frequently and up to 50 pounds rarely. Requires timely and regular adherence to established work schedules. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential tasks.

Special Requirements

Possession of a valid driver's license. Regular and reliable attendance is an essential function of this position.

How To Apply

Please see ""Job Posting Link"" below for a complete job description.

External Applicants: If you are interested in applying for this position, you must create an account. Please select ""Login and Apply"" from the bottom of this posting. After creating an account, please login, complete the online application, and apply for this job.

Eligible Internal Applicants: Follow these instructions to complete a transfer application. After creating an account, please complete the application and apply for this job.

Full Time or Part Time? Full Time

Job Posting Link https://vbschoolscom.finalsite.com/fs/resource-manager/view/90d40e60-754c-4f43-850b-cba99868cf30

Salary Range: From/To

Instructional Experience-Based Step Pay Scale

Salary will be based on job-related creditable years of full-time, verified work experience. Entry-level salary will be awarded at the time of hire. Upon the return of employment verification forms from the candidate's current and previous employers, the salary will be adjusted if creditable full-time experience is confirmed.

VBCPS offers a full range of benefits including health insurance, paid life insurance, paid sick/personal reasons leave, tuition reimbursement, professional development and membership in the Virginia Retirement System.

FTE 1.000

Start Date 2023-2024 School Yr

Instructional Experience-Based Step Pay Scale

Salary will be based on job-related creditable years of full-time, verified work experience. Entry-level salary will be awarded at the time of hire. Upon the return of employment verification forms from the candidate's current and previous employers, the salary will be adjusted if creditable full-time experience is confirmed.

VBCPS offers a full range of benefits including health insurance, paid life insurance, paid sick/personal reasons leave, tuition reimbursement, professional development and membership in the Virginia Retirement System.
Show less ",1,0.11,0.22
56,Education and Training,Education Administration Programs,"This posting is for a preliminary interview for applicants interested in secondary positions in the Decatur City School System. However, if you have already had a preliminary interview, you will not need to be interviewed again. All applicants are required to have a Preliminary Interview prior to interviewing at the school level.




Job Attachment View Attachment
Show less ",1,0,0
57,Education and Training,Education Administration Programs,"Start Date 03/23/23




Additional Job Information




Self Contained K-1, special needs




Job Attachment View Attachment
Show less ",1,0,0
58,Health Care Provider,Education Administration Programs,"To provide targeted support to students in the content area of literacy




Duty Days 187




Reports To Principal




Salary Range: From/To See Appropriate Salary Schedule...




Additional Job Information




NON-DISCRIMINATION STATEMENT




The Following Person Has Been Designated To Handle Inquiries Regarding The Non-discrimination Policies




The Bessemer City School System does not discriminate on the basis of race, color, national origin, sex, disability, or age in its programs and activities and provides equal access to the Boy Scouts and other designated youth groups.




Dr. Jameka Thomas, Section 504; and Title IX Coordinator




1621 - 5th Avenue North




Bessemer, Alabama 35021




Phone: 205.432.3028 Email: jathomas@bessk12.org




Job Attachment View Attachment




NON-DISCRIMINATION STATEMENT




The Following Person Has Been Designated To Handle Inquiries Regarding The Non-discrimination Policies




The Bessemer City School System does not discriminate on the basis of race, color, national origin, sex, disability, or age in its programs and activities and provides equal access to the Boy Scouts and other designated youth groups.




Dr. Jameka Thomas, Section 504; and Title IX Coordinator




1621 - 5th Avenue North




Bessemer, Alabama 35021




Phone: 205.432.3028 Email: jathomas@bessk12.org
Show less ",1,0,1.07
59,Education and Training,Education Administration Programs,"To assist the teacher and or other school personnel by performing assigned tasks.




Ability to relate and work with children in a positive manner. Require basic English and math skills; effective oral and written




communications plus basic knowledge of technology.




Ability to follow wirtten and verbal instructions. Ability to work cooperatively and maintain confidentiality.




Start Date 08/2023




Duty Days 187




Reports To Principal




Job Posting Link www.coffeecountyschools.org




Salary Range: From/To Salary based on Board's approved salary matrix.




Technology Literacy Email Applications, Basic Troubleshooting, Internet Browsers, Windows ?




Additional Job Information




Must possess or be eligible for a valid Alabama Educator Certificate, two years of higher education (48 semester hours) or meet the approved WorkKeys Assessment (individuals must score at a Level 3 on the applied math, workplace documents and business writing portions of the assessment.) If applicant has not had a background check one will be required before employment is finalized.




Transcripts will be required to verify coursework hours.




Job Attachment View Attachment




Must possess or be eligible for a valid Alabama Educator Certificate, two years of higher education (48 semester hours) or meet the approved WorkKeys Assessment (individuals must score at a Level 3 on the applied math, workplace documents and business writing portions of the assessment.) If applicant has not had a background check one will be required before employment is finalized.




Transcripts will be required to verify coursework hours.
Show less ",1,0,0
60,Management and Manufacturing,Education Administration Programs,"# of Jobs 1

Hours per Day 8

Work Hours 6:30am - 3:00pm

Temporary Position No

Calendar Days 12-month (247 days)

Salary

For Salary Schedule, click HERE. $23.9350

Pay Grade D

Pay Grade 12

Minimum Educational Requirements Other - Please see job description for specific requirements.

Contract Type Full-Time

Reports to ASSISTANT PRINCIPAL

Contact Person's Name Doreen Schomp

Contact Person's Email schompd@pcsb.org

Job Description.

Click HERE. View Attachment
Show less ",1,0,0
61,Management and Manufacturing,Education Administration Programs,"Duty Days 20




Reports To Director of Curriculum & Instruction




Salary Range: From/To Supplemental Salary Schedule $60.00 per hour




Endorsements




General Science
Mathematics
Gifted




Job Attachment View Attachment
Show less ",1,0,0
62,Health Care Provider,Education Administration Programs,"The Duties Include But Are Not Limited To




Provides initial health screenings for vision, hearing, and scoliosis of Title I students and refers follow-up screenings to the nurse.
Conducts health assessments and administers first aid according to American Red Cross standards.
Supervises the taking of medications by students as outlined in the medication policy of the Mobile County Public School System.
Conducts health assessments and reports suspected abuse to principal and assigned nurse.
Assists the assigned nurse in serving as a liaison between the Visiting Health Nurse, school, and home.
Assists the Visiting Health Nurse in teaching of health education programs in the school.
Assists the Visiting Health Nurse as needed with home visits.
Assists the Visiting Health Nurse in scheduling of medical appointments for Title I students.
Assists the Visiting Health Nurse in follow-up on identified health problems with parents and other health professionals.
Assists with data entry of health information.
Performs any other duties as designated by the principal, supervisor, and Visiting Health Nurse.




Qualifications




Must be a high school graduate from a regionally accredited school, or have GED equivalent.




Must have Certified Nursing Assistant certification.




Must have at least three (3) years of experience in a hospital or community health setting.




Current First-Aid/CPR certification is preferred.




New Applicants click here to login and apply




Current MCPSS Employees click here to login and apply




Duty Days 182




Salary Range: From/To Beginning pay - $15,436.00.




Additional Job Information




**Applicants selected for classified positions must undergo (or have undergone) an ABI/FBI criminal history background check (fingerprinting administered through sites selected and approved by the MCPSS and State of Alabama Education Department) and be declared suitable and fit to teach under state law. Applicants selected must also pass a drug-screening test via forms provided by Human Resources during the selection process.**




THE MOBILE COUNTY PUBLIC SCHOOL SYSTEM IS AN EQUAL OPPORTUNITY EMPLOYER.




Job Attachment View Attachment
Show less ",1,0,0
63,Health Care Provider,Education Administration Programs,"See Attached Document




Reports To Principal




Additional Job Information




**This position is funded through a three-year grant and is not eligible for continued service status (tenure).**




Job Attachment View Attachment




**This position is funded through a three-year grant and is not eligible for continued service status (tenure).**
Show less ",1,0,0
64,"Research, Analyst, and Information Technology",Higher Education,"Details




Open Date




Requisition Number PRN34038B




Job Title Lab Technician




Working Title Lab Technician




Job Grade C




FLSA Code Nonexempt




Patient Sensitive Job Code? No




Standard Hours per Week 40




Full Time or Part Time? Full Time




Shift Day




Work Schedule Summary




Monday - Saturday




VP Area U of U Health - Academics




Department 00269 - Orthopedic Surgery Operations




Location Campus




City Salt Lake City, UT




Type of Recruitment External Posting




Pay Rate Range $20.00 - $21.00




Close Date




Open Until Filled No




Job Summary




Performs technical procedures in a research laboratory under minimal supervision by applying standard scientific techniques and analytical principles.




Responsibilities




Confers with senior laboratory personnel regarding the procedures and techniques to be followed in conducting research and recommends modifications as needed.
Performs specialized tests and procedures using complex equipment.
Procures supplies and materials needed for laboratory research.
Conducts literature reviews to obtain abstracts and information to be utilized in research.
Makes statistical calculations, analyzes data and prepares reports summarizing results.
May supervise the care of research animals; perform minor animal surgery or collect animal tissues and specimens for laboratory analysis.
Orders supplies and experimental materials needed to conduct research.




This job description is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to the job.




Work Environment and Level of Frequency that may be required:




Nearly Continuously: Office environment.




Often: Infectious disease, oils ( there is air or skin exposure to oils or other cutting fluids ), hazards ( includes a variety of physical conditions, such as proximity to moving mechanical parts, moving vehicles, electrical current, working on scaffolding and high places, or exposure to chemicals ).




Seldom: Exposure to animals.




Physical Requirements and Level of Frequency that may be required




Nearly Continuously: Hearing, listening, talking.




Often: Repetitive hand motion (such as typing), walking, standing, sitting.




Seldom: Bending, reaching overhead.




Minimum Qualifications




Bachelor's degree in biology, chemistry, or other scientific disciplines in a related field or equivalency (one year of education can be substituted for two years of related work experience) required; knowledge of complex laboratory techniques, equipment, terminology, materials and substances. Skilled in the use of laboratory equipment, ability to create and analyze statistical calculations and prepare reports required; and demonstrated human relations and effective communication skills also required. OSHA training and certification in animal care and use or the willingness to complete the certification may be required by some departments.




Applicants must demonstrate the potential ability to perform the essential functions of the job as outlined in the position description.




Preferences




Type Benefited Staff




Special Instructions Summary




Additional Information




The University of Utah values candidates who have experience working in settings with students from diverse backgrounds and possess a strong commitment to improving access to higher education for historically underrepresented students.




Individuals from historically underrepresented groups, such as minorities, women, qualified persons with disabilities and protected veterans are encouraged to apply. Veterans' preference is extended to qualified applicants, upon request and consistent with University policy and Utah state law. Upon request, reasonable accommodations in the application process will be provided to individuals with disabilities.




The University of Utah is an Affirmative Action/Equal Opportunity employer and does not discriminate based upon race, ethnicity, color, religion, national origin, age, disability, sex, sexual orientation, gender, gender identity, gender expression, pregnancy, pregnancy-related conditions, genetic information, or protected veteran's status. The University does not discriminate on the basis of sex in the education program or activity that it operates, as required by Title IX and 34 CFR part 106. The requirement not to discriminate in education programs or activities extends to admission and employment. Inquiries about the application of Title IX and its regulations may be referred to the Title IX Coordinator, to the Department of Education, Office for Civil Rights, or both.




To Request a Reasonable Accommodation For a Disability Or If You Or Someone You Know Has Experienced Discrimination Or Sexual Misconduct Including Sexual Harassment, You May Contact The Director/Title IX Coordinator In The Office Of Equal Opportunity And Affirmative Action




Director/ Title IX Coordinator




Office of Equal Opportunity and Affirmative Action ( OEO /AA)




383 University Street, Level 1 OEO Suite




Salt Lake City, UT 84112




801-581-8365




oeo@utah.edu




Online reports may be submitted at oeo.utah.edu




For more information: https://www.utah.edu/nondiscrimination/




To inquire about this posting, email: employment@utah.edu (%20employment@utah.edu) or call 801-581-2300.




The University is a participating employer with Utah Retirement Systems (""URS""). Eligible new hires with prior URS service, may elect to enroll in URS if they make the election before they become eligible for retirement (usually the first day of work). Contact Human Resources at (801) 581-7447 for information. Individuals who previously retired and are receiving monthly retirement benefits from URS are subject to URS' post-retirement rules and restrictions. Please contact Utah Retirement Systems at (801) 366-7770 or (800) 695-4877 or University Human Resource Management at (801) 581-7447 if you have questions regarding the post-retirement rules.




This position may require the successful completion of a criminal background check and/or drug screen.




https://safety.utah.edu/safetyreport This report includes statistics about criminal offenses, hate crimes, arrests and referrals for disciplinary action, and Violence Against Women Act offenses. They also provide information about safety and security-related services offered by the University of Utah. A paper copy can be obtained by request at the Department of Public Safety located at 1658 East 500 South.
Show less ",1,0.22,0.11
65,Human Resources,Higher Education,"Position Function

The function of the Regional Migrant Recruiter/Advocate is to locate and recruit migrant families and their children. The purpose of this position is to determine the location, number, and educational needs of qualifying migrant children in the state so that services may be designed and coordinated to meet those needs. Responsibilities include extensive travel for farm, school, and home visitations, individual counseling with children and parents, and coordination with service providers. The Regional Migrant Recruiter/Advocate works with school counselors, teachers, parents, and children.

Salary Grade : 13

Please see Staff Compensation Structure for salary ranges.

Department Profile

The Mississippi Migrant Education Service Center sets out to ensure that migrant students and youth are receiving appropriate educational services to enable them to achieve high academic standards by overcoming the obstacles created by cultural and language differences and the educational disruption stemming from frequent moves.

https://www.mmesc.msstate.edu/

Essential Duties And Responsibilities

The following examples are intended as illustrations only of the various types of duties assigned in positions allocated to this classification. The absence of specific statements of duties does not exclude those tasks from the position if the work is similar, related, or a logical assignment of the position.

Attend state or local annual and on-going recruitment trainings;
Actively locate prospective migrant children and youth;
Conduct family interviews;
Gather and analyze information given by prospective migrant families/youth;
Establish proper eligibility determinations based on the guidelines outlined in this manual, the Non-Regulatory Guidance. and the statutes governing the MEP;
Record information accurately and in detail on the COE;
Follow proper procedures and protocol regarding the review of COEs; and
Maintain detailed work logs regarding all ID&R activities.

Additional duties for recruiters may vary depending on the size of the region’s migrant population and their geographical location. They may include but are not limited to:

Serve as a home-school or community liaison or advocate for migrant children and youth;
Help refer migrant parents to community agencies for needed services; and
Provide student support services.
Identify all eligible migrant children and young adults residing within the boundaries of the assigned school district(s).
Certify the eligibility of the children to participate in migrant education project activities, according to program eligibility criteria.
Complete certification of eligibility forms(COEs).
Inform families of the Family Educational Rights and Privacy Act (FERPA).
Serve as a communication link between the central office and the schools, growers, agribusiness, and community agencies.
Determine the location of migrant labor camps and housing units in the school district.
Fully understand all federal regulations pertaining to the Migrant Education Program.
Keep in contact with growers and organizations using migrant labor for the purpose of identifying migrant children as they move into the school district.
Follow all procedures and practices contained in the state’s ID&R Handbook (if applicable) and in any other directives issued by the SEA.
Collect data that is required to enroll eligible children in the state’s student database system.
Maintain proper records and information relating to identification and recruitment.
Serve as a home-school coordinator as requested by the local project director.
Assist the MMESC coordinators with the recruitment of parents and students for membership in the Parent Advisory Council and with PAC activities/educational projects.
Attend periodic, scheduled training sessions. (A recruiter cannot function effectively without adequate training in policies, procedures and job responsibilities.).

Advocacy Duties

Maintains a recruitment network that includes school officials, business, and other service providers in the region that may assist in the proper and timely identification and recruitment of migrant children and their families
Works with school districts to inform them of the services available to migrant children.
Seeks the cooperation of school officials in the identification and recruitment of migrant children.
Works with the schools and teachers to help them in their efforts to instruct migrant children.
Works closely with school staff responsible for school enrollment, i.e. front office staff, attendance clerks and school guidance counselors in the recruitment of prospective students.
Assists in the planning of supplemental educational services and activities for migrant children.
Maintains a list of resources and services that are available for eligible and ineligible migrant children and their families
Assist with the individualized plans that address the specific needs migrant students, while tracking/monitoring their educational progress.
Assist with the development of programs to include migrant parents in the educational process of their children

Receives: The Regional Migrant Recruiter/Advocate receives oral and written advice and/or instructions from the MMESC Director and Identification & Recruitment Coordinator.

Minimum Qualifications

Bachelor’s degree OR any equivalent combination of related experience and/or education will be considered by the Department of Human Resources Management.
English/Spanish Bilingual
Valid Driver’s licenses

Preferred Qualifications

Experience working with students, parents, teachers, university administrators, and farmers.
Experience with migrant and minority populations.

Working Conditions and Physical Effort

No unusual physical requirements. Requires no heavy lifting, and nearly all work is performed in a comfortable indoor facility.

Frequent - Externally imposed deadlines; set and revised beyond one’s control; interruptions influence priorities; difficult to anticipate nature or volume of work with certainty beyond a few days; irregular hours may be anticipated; meeting of deadlines and coordination of unrelated activities are key to position.

Job frequently requires walking, sitting, reaching, talking, hearing, handling objects with hands

Job requires standing, stooping/kneeling/crouching/crawling, and lifting up to 10 pounds

Vision requirements: Ability to see information in print and/or electronically

Hearing requirements: Heavy telephone contact requires ability to hear and respond to telephone conversations

Instructions For Applying

Link to apply: http://explore.msujobs.msstate.edu/

https://www.msujobs.msstate.edu/

Restricted Clause

Position is contingent upon continued availability of funding.

Equal Employment Opportunity Statement

MSU is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, ethnicity, sex, religion, national origin, disability, age, sexual orientation, genetic information, pregnancy, gender identity, status as a U.S. veteran, and/or any other status protected by applicable law. We always welcome nominations and applications from women, members of any minority group, and others who share our passion for building a diverse community that reflects the diversity in our student population.

What do I do if I need an accommodation?

In compliance with the ADA Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position with Mississippi State University, please contact the Department of Human Resources Management at tel: (662) 325-3713 or ada@hrm.msstate.edu .

If you have any questions regarding this policy, contact the Department of Human Resources Management at (662) 325-3713 or ada@hrm.msstate.edu . Upon request, sections of this job listing are available in large print, and readers are available to assist the visually impaired.
Show less ",1,0.09,0.09
66,Administrative,Higher Education,"Details




Open Date 02/13/2023




Requisition Number PRN13418N




Job Title UU Student - Admin/Clerical




Working Title Administrative Assistant




Job Grade SJ




FLSA Code Nonexempt




Patient Sensitive Job Code?




Type Non Benefited Staff / Student




Temporary?




Standard Hours per Week 10-15




Full Time or Part Time? Part Time




Shift Day




Work Schedule Summary




Week day flexibility, 10-15 hours per week.




Virtual. In-person work sometimes needed.




Is this a work study job? No




VP Area President




Department 00006 - Associate VP for Diversity




Location Campus




City Salt Lake City, UT




Type of Recruitment External Posting




Pay Rate Range $12.00




Close Date




Job Summary




To provide highly responsible leadership in administrative, facilitative, and educational support in the management of specific projects associated with the work of the New Leadership Academy ( NLA ). The NLA Fellows Program changes the expectations that surround leaders, leadership and leadership development across higher education. The New Leadership Academy is part of Equity, Diversity, and Inclusion at the University of Utah. Equity, Diversity, and Inclusion ( EDI ) serves across the entire university system and leads this work for the University and includes resource centers; offices; and associated student, faculty, and staff affinity groups. EDI has a mission to serve as a catalyst for transformation towards diversity, equity, and inclusion as an embodiment of the University’s core values with the ultimate vision of establishing a culture of belonging throughout the University and becoming a model campus for equity, diversity, and inclusive excellence.




Responsibilities




Essential Functions




Assists with conference planning and logistics.
Edits and assists in writing research papers, project reports and publication materials.
Arranges for printing and graphic art requirements for printed materials.
Schedules appointments, visits and meetings.
Supports recruitment, curriculum development and delivery.
Assist with digital communications for distribution.
Setting up and assisting with the running of live events/meetings.
Creating invoices from templates.
Processing reimbursements.




Problem Solving




The Administrative Assistant works under general supervision in the performance of most tasks and may determine the prioritization of routine work assignments. The employee will work in a high-energy, fast-paced, team-oriented environment with high levels of accountability. The employee must be able to multi-task with varied assignments and be aware of resources needed to accomplish the objectives outlined in each project. Time management and attention to detail is a must.




Disclaimer: This job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to the job.




Comments




Work Environment and Level of Frequency that may be Required




Nearly Continuously: Virtual Office Space (Remote Working – Space available on campus)




Physical Requirements and Level of Frequency that may be Required




Nearly Continuously: Sitting, repetitive hand motion (such as typing) hearing, listening and talking




Seldom: Bending, reaching overhead, walking – During hosted meetings and events.




Minimum Qualifications




Excellent analytical and communication (written and verbal) skills with the ability to forge relationships with diverse audiences; the ability to manage multiple projects; timeliness; and the ability to work on teams or independently. Students should be dependable and committed to the position during their allotted weekly schedule. Perfect candidates are self-starters with a growth mindset and have good interpersonal skills. Attention to detail is a must.




Applicants must demonstrate the potential ability to perform the essential functions of the job as outlined in the position description. We welcome candidates from diverse backgrounds, identities and experiences with a commitment to contributing to an equitable, diverse and inclusive environment for all members of our community.




Preferences




Special Instructions Summary




Additional Information




The University of Utah values candidates who have experience working in settings with students from diverse backgrounds and possess a strong commitment to improving access to higher education for historically underrepresented students.




Individuals from historically underrepresented groups, such as minorities, women, qualified persons with disabilities and protected veterans are encouraged to apply. Veterans’ preference is extended to qualified applicants, upon request and consistent with University policy and Utah state law. Upon request, reasonable accommodations in the application process will be provided to individuals with disabilities.




The University of Utah is an Affirmative Action/Equal Opportunity employer and does not discriminate based upon race, ethnicity, color, religion, national origin, age, disability, sex, sexual orientation, gender, gender identity, gender expression, pregnancy, pregnancy-related conditions, genetic information, or protected veteran’s status. The University does not discriminate on the basis of sex in the education program or activity that it operates, as required by Title IX and 34 CFR part 106. The requirement not to discriminate in education programs or activities extends to admission and employment. Inquiries about the application of Title IX and its regulations may be referred to the Title IX Coordinator, to the Department of Education, Office for Civil Rights, or both.




To Request a Reasonable Accommodation For a Disability Or If You Or Someone You Know Has Experienced Discrimination Or Sexual Misconduct Including Sexual Harassment, You May Contact The Director/Title IX Coordinator In The Office Of Equal Opportunity And Affirmative Action




Director/ Title IX Coordinator




Office of Equal Opportunity and Affirmative Action ( OEO /AA)




383 University Street, Level 1 OEO Suite




Salt Lake City, UT 84112




801-581-8365




oeo@utah.edu




Online reports may be submitted at oeo.utah.edu




For more information: https://www.utah.edu/nondiscrimination/




To inquire about this posting, email: employment@utah.edu (%20employment@utah.edu) or call 801-581-2300.




The University is a participating employer with Utah Retirement Systems (“URS”). Eligible new hires with prior URS service, may elect to enroll in URS if they make the election before they become eligible for retirement (usually the first day of work). Contact Human Resources at (801) 581-7447 for information. Individuals who previously retired and are receiving monthly retirement benefits from URS are subject to URS’ post-retirement rules and restrictions. Please contact Utah Retirement Systems at (801) 366-7770 or (800) 695-4877 or University Human Resource Management at (801) 581-7447 if you have questions regarding the post-retirement rules.




This position may require the successful completion of a criminal background check and/or drug screen.




https://safety.utah.edu/safetyreport This report includes statistics about criminal offenses, hate crimes, arrests and referrals for disciplinary action, and Violence Against Women Act offenses. They also provide information about safety and security-related services offered by the University of Utah. A paper copy can be obtained by request at the Department of Public Safety located at 1658 East 500 South.
Show less ",1,0.19,0
67,Management and Manufacturing,Education Administration Programs,"Embrace and promote the school system's mission, vision, beliefs, and goals
Promote good public relations for school and school system with the general public
Regular and punctual in attendance, follow correct procedure for recording daily attendance and submitting requests for leave of absence
Accept no other employment which interferes with the efficient and effective discharge of duties and responsibilities
Assist in developing written maintenance records for all vehicles owned by the school system 
Perform routine maintenance and service on vehicles and equipment, including video systems, at regularly- scheduled intervals  
Maintain service bay in a clean, neat, and safe manner
Properly use and care for tools, equipment, and material resources of the school system 
Request supplies and equipment needed to carry out duties and assigned projects  
Drive buses and transports students as needed  
Perform road tests of system vehicles as directed 
Perform road call duty as needed 
Respond promptly to call out in emergency situations  
Perform all mechanical maintenance services with priority on student and employee safety; remove from service any bus or other vehicle that is unsafe to operate  
Return buses or other vehicles to active service only after identified maintenance problems have been corrected  
Engage in work related training to increase knowledge and skills as directed and/or for advancement  
Perform duties in a courteous, professional manner  
Maintain appropriate confidentiality regarding school/workplace matters  
Demonstrate initiative in identifying potential problems and/or opportunities for improvement in areas of responsibility  
Report potential problems, unusual events, or work irregularities to appropriate administrative or supervisory personnel 
Respond to inquiries, requests, and constructive feedback in a timely and positive manner  
Maintain and submit reports, records, and correspondence in a timely and accurate manner  
Adhere to school system rules, administrative procedures, local Board policies, and state, federal, and local laws 
Prioritize tasks and use time wisely 
Perform other job-related duties as assigned by the Director of Operations




Reports To Director of Operations




Salary Range: From/To District Salary Schedule




Additional Job Information




See document for additional job information




Job Attachment View Attachment




See document for additional job information
Show less ",1,0,0
68,Education and Training,Education Administration Programs,"Start Date 5.30.2023




Additional Job Information




This position is for all aide positions, which will be hired AS NEEDED. Programs are planned for 17 school sites. Aide positions will be based on actual needs within programs.




Job Attachment View Attachment




This position is for all aide positions, which will be hired AS NEEDED. Programs are planned for 17 school sites. Aide positions will be based on actual needs within programs.
Show less ",1,0,0
69,Management and Manufacturing,Education Administration Programs,"School bus drivers needed. Salary will be calculated according to salary schedule for years of experience. Job description is attached.




Salary Range: From/To $13,874.00 - $18,658.00




Job Attachment View Attachment
Show less ",1,0,0
